original_name,Synonym
Ribes oxyacanthoides,Ribes oxyacanthoides
Ribes sanguineum,Ribes sanguineum
Ribes triste,Ribes triste
Rosa acicularis,Rosa acicularis
Rosa gymnocarpa,Rosa gymnocarpa
Rosa nutkana,Rosa nutkana
Rosa pisocarpa,Rosa pisocarpa
Rosa woodsii,Rosa woodsii
Rubus arcticus,Rubus arcticus
Rubus chamaemorus,Rubus chamaemorus
Rubus idaeus,Rubus idaeus
Rubus leucodermis,Rubus leucodermis
Rubus parviflorus,Rubus parviflorus
Rubus pedatus,Rubus pedatus
Rubus pubescens,Rubus pubescens
Rubus spectabilis,Rubus spectabilis
Rubus ursinus,Rubus ursinus
Rumex aquaticus,Rumex aquaticus
Sagittaria cuneata,Sagittaria cuneata
Sagittaria latifolia,Sagittaria latifolia
Salix bebbiana,Salix bebbiana
Salix discolor,Salix discolor
Salix exigua,Salix exigua
Salix hookeriana,Salix hookeriana
Salix lucida,Salix lucida
Salix scouleriana,Salix scouleriana
Salix sitchensis,Salix sitchensis
Sambucus nigra,Sambucus nigra
Sambucus racemosa,Sambucus racemosa
Schoenoplectus acutus,Schoenoplectus acutus
Schoenoplectus americanus,Schoenoplectus americanus
Scirpus microcarpus,Scirpus microcarpus
Sedum divergens,Sedum divergens
Shepherdia canadensis,Shepherdia canadensis
Sium suave,Sium suave
Solidago canadensis,Solidago canadensis
Sorbus scopulina,Sorbus scopulina
Sorbus sitchensis,Sorbus sitchensis
Spiraea betulifolia,Spiraea betulifolia
Spiraea douglasii,Spiraea douglasii
Streptopus amplexifolius,Streptopus amplexifolius
Symphoricarpos albus,Symphoricarpos albus
Taxus brevifolia,Taxus brevifolia
Thalictrum occidentale,Thalictrum occidentale
Thuja plicata,Thuja plicata
Toxicodendron rydbergii,Toxicodendron radicans
Trifolium wormskioldii,Trifolium wormskioldii
Triglochin maritima,Triglochin maritima
Trillium ovatum,Trillium ovatum
Trillium petiolatum,Trillium petiolatum
Triteleia grandiflora,Triteleia grandiflora
Tsuga heterophylla,Tsuga heterophylla
Tsuga mertensiana,Tsuga mertensiana
Typha latifolia,Typha latifolia
Urtica dioica,Urtica dioica
Vaccinium caespitosum,Vaccinium caespitosum
Vaccinium membranaceum,Vaccinium membranaceum
Vaccinium myrtilloides,Vaccinium myrtilloides
Vaccinium myrtillus,Vaccinium myrtillus
Vaccinium ovalifolium,Vaccinium ovalifolium
Vaccinium ovatum,Vaccinium ovatum
Vaccinium oxycoccos,Vaccinium oxycoccos
Vaccinium parvifolium,Vaccinium parvifolium
Vaccinium scoparium,Vaccinium scoparium
Vaccinium uliginosum,Vaccinium uliginosum
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Valeriana edulis,Valeriana edulis
Valeriana sitchensis,Valeriana sitchensis
Veratrum viride,Veratrum viride
Viburnum edule,Viburnum edule
Viburnum opulus,Viburnum opulus
Viola adunca,Viola adunca
Xerophyllum tenax,Xerophyllum tenax
Zigadenus elegans,Anticlea elegans
Zigadenus venenosus,Toxicoscordion venenosum
Zostera marina,Zostera marina
