Synonym,Family,LDMC (g/g),Plant height (m),Nmass (mg/g),Leaf area (mm2),Woodiness,Diaspore mass (mg),N_Names,N_Langs,N_Uses,Species,Ssp_var
Cirsium undulatum,Compositae,NA,1.2,23.55,NA,non-woody,5.4403,44,28,16,Cirsium undulatum,NA
Cirsium vulgare,Compositae,0.131397251,0.92238856,17.26,6798.49,non-woody,2.6402,44,28,20,Cirsium vulgare,NA
Claytonia lanceolata,Montiaceae,NA,NA,NA,76.72,non-woody,1.11,30,18,13,Claytonia lanceolata,NA
Claytonia sibirica,Montiaceae,0.07681,0.356635317,NA,316,non-woody,1.1796,17,7,14,Claytonia sibirica,NA
Clematis columbiana,Ranunculaceae,NA,1.5,NA,NA,woody,5.33,10,6,3,Clematis columbiana,NA
Clematis ligusticifolia,Ranunculaceae,NA,0.3,NA,3213,woody,2.8439,13,7,59,Clematis ligusticifolia,NA
Clematis occidentalis,Ranunculaceae,NA,NA,NA,NA,woody,5.27,10,6,3,Clematis occidentalis,NA
Clintonia uniflora,Liliaceae,NA,NA,NA,NA,non-woody,4.9629,10,9,10,Clintonia uniflora,NA
Comandra umbellata,Santalaceae,NA,0.282842712,16.98419965,96.62,non-woody,89.12,8,4,7,Comandra umbellata,NA
Comarum palustre,Rosaceae,0.25,0.371233216,13.36,2197.21,non-woody,0.4222,3,3,4,Comarum palustre,NA
Conioselinum gmelinii,Apiaceae,NA,NA,NA,NA,NA,NA,29,14,15,Conioselinum gmelinii,NA
Cornus canadensis,Cornaceae,NA,0.15,18.50784993,771.38,non-woody,8.7106,60,30,40,Cornus canadensis,NA
Cornus nuttallii,Cornaceae,NA,14.72585482,NA,3200,woody,91.8359,24,14,30,Cornus nuttallii,NA
Cornus sericea,Cornaceae,NA,2.663296645,17.55,2345.51,woody,25.7526,76,40,21,Cornus sericea,NA
Cornus suecica,Cornaceae,0.197911602,0.164964651,19.88696657,301.4,non-woody,3.42,60,30,2,Cornus suecica,NA
Cornus unalaschkensis,Cornaceae,NA,NA,NA,NA,NA,NA,60,30,6,Cornus unalaschkensis,NA
Corylus cornuta,Betulaceae,NA,3.394021317,19.53619192,3166.4,woody,472.61130000000003,63,29,25,Corylus cornuta,NA
Crataegus douglasii,Rosaceae,NA,3.123716806,NA,NA,woody,22.1203,68,25,41,Crataegus douglasii,NA
Delphinium nuttallianum,Ranunculaceae,NA,NA,NA,381.97,non-woody,0.4033,6,4,2,Delphinium nuttallianum,NA
Dicentra formosa,Papaveraceae,NA,0.564621617,NA,NA,non-woody,1.4209,6,4,4,Dicentra formosa,NA
Dodecatheon hendersonii,Primulaceae,NA,NA,NA,NA,non-woody,1.1493,15,9,3,Dodecatheon hendersonii,NA
Dodecatheon jeffreyi,Primulaceae,NA,NA,NA,NA,non-woody,0.53,15,9,2,Dodecatheon jeffreyi,NA
Dodecatheon pulchellum,Primulaceae,NA,0.6,25.94875,408.09,non-woody,0.3836,15,9,1,Dodecatheon pulchellum,NA
Drosera rotundifolia,Droseraceae,0.13,0.07657073,12.68845516,47.44,non-woody,0.0129,6,3,2,Drosera rotundifolia,NA
Dryopteris expansa,Dryopteridaceae,269.34,1.2,22.11655754,59642.46,non-woody,3.68e-5,66,37,7,Dryopteris expansa,NA
Elaeagnus commutata,Elaeagnaceae,NA,2.817831976,NA,NA,woody,119.1724,25,11,43,Elaeagnus commutata,NA
Empetrum nigrum,Ericaceae,279.276306748081,0.213461056,11.41157144,4.8,woody,0.9796,42,18,31,Empetrum nigrum,NA
Epilobium angustifolium,Onagraceae,0.304087785,0.831719514,28.6675871,2207.76,non-woody,0.0655,85,43,4,Epilobium angustifolium,NA
Equisetum arvense,Equisetaceae,181.70286413985,0.348986214,20.03828835,112.82,non-woody,2.2e-5,89,43,54,Equisetum arvense,NA
Equisetum hyemale var. affine,Equisetaceae,NA,NA,NA,NA,NA,NA,40,26,8,Equisetum hyemale,var. affine
Equisetum telmateia,Equisetaceae,119.493333333333,1.168182022,NA,50.33,non-woody,2.2e-5,89,43,26,Equisetum telmateia,NA
Ericameria nauseosa,Compositae,NA,1.105,20.57577722,28.27,woody,0.7539,17,8,41,Ericameria nauseosa,NA
Eriophorum angustifolium,Cyperaceae,0.326532408,0.280294636,19.2332864,1159.4,non-woody,0.4922,26,8,6,Eriophorum angustifolium,NA
Erythronium grandiflorum,Liliaceae,NA,0.3,NA,2135.49,non-woody,4.0602,13,13,25,Erythronium grandiflorum,NA
Eurybia conspicua,Asteraceae,NA,NA,NA,NA,NA,NA,8,5,8,Eurybia conspicua,NA
Fragaria chiloensis,Rosaceae,NA,0.24,NA,NA,non-woody,0.74,113,51,25,Fragaria chiloensis,NA
Fragaria vesca,Rosaceae,388,0.113880257,18.41902786,1112.11,non-woody,0.3229,113,51,28,Fragaria vesca,NA
Fragaria virginiana,Rosaceae,0.470839011,0.106933128,14.74564927,1285.81,non-woody,0.4771,113,51,76,Fragaria virginiana,NA
Frangula purshiana,Rhamnaceae,NA,10.33,NA,NA,woody,37.9936,52,26,62,Frangula purshiana,NA
Frasera montana,Gentianaceae,NA,NA,NA,NA,NA,NA,5,4,1,Frasera montana,NA
Fritillaria affinis,Liliaceae,NA,NA,NA,NA,non-woody,2.2,17,13,12,Fritillaria affinis,NA
Fritillaria camschatcensis,Liliaceae,NA,NA,NA,NA,NA,NA,34,21,14,Fritillaria camschatcensis,NA
Fritillaria pudica,Liliaceae,NA,0.3,NA,NA,non-woody,2.3157,16,9,20,Fritillaria pudica,NA
Gaillardia aristata,Compositae,NA,0.6,NA,NA,non-woody,8.5401,12,5,19,Gaillardia aristata,NA
Galium aparine,Rubiaceae,0.139310853,0.389570305,25.66632034,159.05,non-woody,7.7522,36,20,19,Galium aparine,NA
Galium triflorum,Rubiaceae,NA,NA,19.05135813,NA,non-woody,0.7321,36,20,19,Galium triflorum,NA
Gaultheria shallon,Ericaceae,NA,1.471306473,8.890435201,3019,woody,0.1191,77,30,82,Gaultheria shallon,NA
Geranium viscosissimum,Geraniaceae,NA,0.91,NA,2505.36,non-woody,8.4895,6,5,12,Geranium viscosissimum,NA
Geum macrophyllum,Rosaceae,0.260357555,0.6,NA,1010.98,non-woody,1.5367,21,18,19,Geum macrophyllum,NA
Geum triflorum,Rosaceae,NA,0.45,14.19803952,828.8,non-woody,0.6286,9,4,26,Geum triflorum,NA
Glaux maritima,Primulaceae,NA,NA,NA,NA,NA,NA,4,3,3,Glaux maritima,NA
Goodyera oblongifolia,Orchidaceae,NA,NA,NA,NA,non-woody,0.0014,17,12,8,Goodyera oblongifolia,NA
Gymnocarpium dryopteris,Cystopteridaceae,164.145816695714,0.205303911,20.87572485,4084.08,non-woody,2.2e-5,4,4,1,Gymnocarpium dryopteris,NA
Hackelia diffusa,Boraginaceae,NA,NA,NA,NA,NA,NA,7,5,1,Hackelia diffusa,NA
Hedysarum alpinum,Leguminosae,NA,0.244948974,38.3,NA,non-woody,6.0681,15,7,12,Hedysarum alpinum,NA
Heracleum maximum,Apiaceae,NA,2.43,NA,12356.38,non-woody,6.5386,102,50,189,Heracleum maximum,NA
Heuchera cylindrica,Saxifragaceae,NA,1.82,NA,NA,non-woody,0.05,17,12,22,Heuchera cylindrica,NA
Hierochloe odorata,Poaceae,0.19,0.350568382,NA,33,non-woody,1.1152,14,8,92,Hierochloe odorata,NA
Holodiscus discolor,Rosaceae,NA,2.928841355,18.03820416,661.42,woody,0.1134,36,26,65,Holodiscus discolor,NA
Hordeum jubatum,Poaceae,0.24441,0.411953429,22.54,181,non-woody,1.6304,17,11,6,Hordeum jubatum,NA
Juncus effusus,Juncaceae,270.228,0.761216973,13.57264734,1402,non-woody,0.0166,9,6,20,Juncus effusus,NA
Juniperus communis,Cupressaceae,407.422515716,3.041436552,11.44467354,20.68,woody,11.7085,66,34,112,Juniperus communis,NA
Juniperus scopulorum,Cupressaceae,NA,11.4582573,13.04468907,NA,woody,15.7658,20,18,131,Juniperus scopulorum,NA
Kalmia microphylla,Ericaceae,NA,0.3,NA,NA,woody,0.01,13,8,6,Kalmia microphylla,NA
Lappula occidentalis,Boraginaceae,NA,NA,NA,NA,NA,NA,7,5,1,Lappula occidentalis,NA
Larix laricina,Pinaceae,NA,23.39932727,15.28582255,33,woody,1.5223,11,6,55,Larix laricina,NA
Larix occidentalis,Pinaceae,NA,50.83738162,16.38228862,25.2,woody,3.2729,15,10,45,Larix occidentalis,NA
Lathyrus japonicus,Leguminosae,NA,0.42837748,NA,NA,non-woody,31.9982,22,15,5,Lathyrus japonicus,NA
Lathyrus nevadensis,Leguminosae,NA,NA,NA,NA,non-woody,16.7,22,15,1,Lathyrus nevadensis,NA
Lathyrus ochroleucus,Leguminosae,NA,0.9,32.9,NA,non-woody,16.64,22,15,5,Lathyrus ochroleucus,NA
Lewisia rediviva,Montiaceae,NA,NA,NA,NA,non-woody,2.611,21,13,50,Lewisia rediviva,NA
Leymus cinereus,Poaceae,NA,1.52,NA,NA,non-woody,3.0444,15,10,18,Leymus cinereus,NA
Leymus mollis,Poaceae,NA,1.21,NA,NA,non-woody,NA,17,11,18,Leymus mollis,NA
Ligusticum canbyi,Apiaceae,NA,NA,NA,NA,NA,NA,11,8,19,Ligusticum canbyi,NA
Ligusticum scoticum,Apiaceae,NA,0.52,NA,3162,non-woody,3.7199,12,4,5,Ligusticum scoticum,NA
Lilium columbianum,Liliaceae,NA,NA,NA,NA,non-woody,2.55,34,22,27,Lilium columbianum,NA
Linnaea borealis,Caprifoliaceae,0.25,0.17717347,9.304296068,92.96,non-woody,1.1894,8,8,6,Linnaea borealis,NA
Lithospermum ruderale,Boraginaceae,NA,0.45,NA,NA,non-woody,10.2411,15,6,23,Lithospermum ruderale,NA
Lomatium canbyi,Apiaceae,NA,0.24,NA,NA,non-woody,4.5796,8,6,8,Lomatium canbyi,NA
Lomatium cous,Apiaceae,NA,0.24,NA,NA,non-woody,4.52,14,10,12,Lomatium cous,NA
Lomatium dissectum,Apiaceae,NA,1.4,NA,NA,non-woody,13.9235,10,7,40,Lomatium dissectum,NA
Lomatium geyeri,Apiaceae,NA,NA,NA,NA,NA,NA,3,3,1,Lomatium geyeri,NA
Lomatium macrocarpum,Apiaceae,NA,NA,NA,NA,NA,NA,10,8,40,Lomatium macrocarpum,NA
Lomatium nudicaule,Apiaceae,NA,NA,NA,NA,non-woody,15.6694,25,18,54,Lomatium nudicaule,NA
