Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Lycopodium clavatum,Lycopodiaceae,26,17,11,Lycopodium clavatum,NA,8.344249730999998,non-woody,380.1900000000001,9.409999999999996e-6,0.12602534899999998,2.39,162
Lysichiton americanus,Araceae,78,44,111,Lysichiton americanus,NA,24.75985375568612,non-woody,24.450178449627327,54.536799999999985,1.1,6968.544395000419,163
Mahonia aquifolium,Berberidaceae,68,29,58,Mahonia aquifolium,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,164
Mahonia nervosa,Berberidaceae,68,29,33,Mahonia nervosa,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,165
Maianthemum dilatatum,Asparagaceae,42,21,15,Maianthemum dilatatum,NA,24.488126436576817,non-woody,24.453618546712484,24.7677,1.071954446,9049.999999999998,166
Maianthemum racemosum subsp. amplexicaule,Liliaceae,38,21,3,Maianthemum racemosum,subsp. amplexicaule,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,167
Malus fusca,Rosaceae,95,33,90,Malus fusca,NA,19.599468459673375,woody,178.59837359181802,9.5443,7.463799301,3415.59148099997,168
Mentha arvensis,Lamiaceae,30,19,208,Mentha arvensis,NA,15.13,non-woody,0.17114856499999997,0.1483,0.293615646,566.0700000000003,169
Menziesia ferruginea,Ericaceae,20,17,9,Menziesia ferruginea,NA,25.29116388670019,woody,182.07169242650636,13.416795139120229,0.8,2562.293765999768,170
Moneses uniflora,Ericaceae,11,10,14,Moneses uniflora,NA,20.4,non-woody,0.27,0.0020000000000000005,0.053078368999999986,358.33000000000004,171
