Species,LEVEL1
Cicuta douglasii,7
Cicuta douglasii,10
Cicuta douglasii,3
Cicuta douglasii,2
Cicuta douglasii,5
Cicuta virosa,6
Cicuta virosa,3
Cicuta virosa,5
Cicuta virosa,2
Cicuta virosa,7
Cicuta virosa,10
Cirsium brevistylum,6
Cirsium brevistylum,7
Cirsium brevistylum,10
Cirsium edule,7
Cirsium edule,6
Cirsium edule,10
Cirsium hookerianum,6
Cirsium hookerianum,5
Cirsium hookerianum,10
Cirsium hookerianum,7
Cirsium undulatum,6
Cirsium undulatum,10
Cirsium undulatum,7
Cirsium undulatum,5
Claytonia lanceolata,10
Claytonia lanceolata,6
Claytonia lanceolata,7
Claytonia lanceolata,5
Claytonia sibirica,6
Claytonia sibirica,7
Claytonia sibirica,10
Claytonia sibirica,2
Clematis columbiana,10
Clematis columbiana,6
Clematis occidentalis,6
Clematis occidentalis,10
Clematis occidentalis,5
Clematis ligusticifolia,10
Clematis ligusticifolia,6
Clematis ligusticifolia,7
Clematis ligusticifolia,5
Clintonia uniflora,6
Clintonia uniflora,7
Clintonia uniflora,10
Comandra umbellata,6
Comandra umbellata,10
Comandra umbellata,5
Comandra umbellata,7
Comandra umbellata,3
Comarum palustre,7
Comarum palustre,6
Comarum palustre,10
Comarum palustre,2
Comarum palustre,3
Comarum palustre,5
Conioselinum gmelinii,7
Cornus canadensis,10
Cornus canadensis,7
Cornus canadensis,6
Cornus canadensis,3
Cornus canadensis,5
Cornus canadensis,2
Cornus unalaschkensis,6
Cornus unalaschkensis,7
Cornus unalaschkensis,10
Cornus unalaschkensis,3
Cornus unalaschkensis,2
Cornus suecica,7
Cornus suecica,6
Cornus suecica,10
Cornus suecica,2
Cornus suecica,3
Cornus nuttallii,6
Cornus nuttallii,7
Cornus nuttallii,10
Cornus sericea,7
Cornus sericea,6
Cornus sericea,10
Cornus sericea,3
Cornus sericea,5
Corylus cornuta,6
Corylus cornuta,10
Corylus cornuta,7
Corylus cornuta,5
Crataegus douglasii,6
Crataegus douglasii,10
Crataegus douglasii,7
Delphinium nuttallianum,10
Delphinium nuttallianum,6
Delphinium nuttallianum,7
Delphinium nuttallianum,5
Dicentra formosa,6
Dicentra formosa,7
Dicentra formosa,10
Dodecatheon hendersonii,6
Dodecatheon hendersonii,7
Dodecatheon pulchellum,6
Dodecatheon pulchellum,10
Dodecatheon pulchellum,5
Dodecatheon pulchellum,7
Dodecatheon pulchellum,3
Dodecatheon pulchellum,2
Dodecatheon jeffreyi,6
Dodecatheon jeffreyi,7
Dodecatheon jeffreyi,10
Drosera rotundifolia,6
Drosera rotundifolia,7
Drosera rotundifolia,10
Drosera rotundifolia,5
Drosera rotundifolia,3
Drosera rotundifolia,2
Elaeagnus commutata,3
Elaeagnus commutata,6
Elaeagnus commutata,5
Elaeagnus commutata,7
Elaeagnus commutata,10
Empetrum nigrum,7
Empetrum nigrum,6
Empetrum nigrum,10
Empetrum nigrum,3
Empetrum nigrum,2
Empetrum nigrum,5
Epilobium angustifolium,3
Epilobium angustifolium,5
Ericameria nauseosa,6
Ericameria nauseosa,10
Ericameria nauseosa,5
Ericameria nauseosa,7
Eriophorum angustifolium,2
Eriophorum angustifolium,3
Eriophorum angustifolium,6
Eriophorum angustifolium,5
Eriophorum angustifolium,7
Eriophorum angustifolium,10
Erythronium grandiflorum,6
Erythronium grandiflorum,7
Erythronium grandiflorum,10
Erythronium grandiflorum,5
Eurybia conspicua,6
Eurybia conspicua,5
Eurybia conspicua,10
Eurybia conspicua,7
Eurybia conspicua,3
Fragaria chiloensis,7
Fragaria virginiana,6
Fragaria virginiana,7
Fragaria virginiana,10
Fragaria virginiana,3
Fragaria virginiana,5
Frangula purshiana,7
Frangula purshiana,6
Frangula purshiana,10
Frasera montana,6
Fritillaria affinis,6
Fritillaria affinis,7
Fritillaria affinis,10
Fritillaria camschatcensis,2
Fritillaria camschatcensis,7
Fritillaria camschatcensis,6
Fritillaria camschatcensis,3
Fritillaria camschatcensis,10
Fritillaria pudica,10
Fritillaria pudica,6
Gaillardia aristata,6
Gaillardia aristata,7
Gaillardia aristata,10
Gaillardia aristata,3
Gaillardia aristata,5
Galium triflorum,7
Galium triflorum,6
Galium triflorum,5
Galium triflorum,10
Galium triflorum,3
Gaultheria shallon,6
Gaultheria shallon,7
Geranium viscosissimum,10
Geranium viscosissimum,6
Geranium viscosissimum,5
Geranium viscosissimum,7
Geum macrophyllum,6
Geum macrophyllum,7
Geum macrophyllum,10
Geum macrophyllum,3
Geum macrophyllum,5
Geum macrophyllum,2
Geum triflorum,6
Geum triflorum,10
Geum triflorum,5
Geum triflorum,7
Glaux maritima,7
Glaux maritima,10
Glaux maritima,6
Glaux maritima,5
Glaux maritima,3
Hackelia diffusa,6
Hackelia diffusa,10
Lappula occidentalis,10
Lappula occidentalis,6
Lappula occidentalis,7
Lappula occidentalis,2
Lappula occidentalis,3
Lappula occidentalis,5
Hedysarum alpinum,2
Hedysarum alpinum,7
Hedysarum alpinum,3
Hedysarum alpinum,6
Hedysarum alpinum,5
Heracleum maximum,6
Heracleum maximum,10
Heracleum maximum,7
Heracleum maximum,2
Heracleum maximum,3
Heracleum maximum,5
Heuchera cylindrica,6
Heuchera cylindrica,10
Heuchera cylindrica,7
Heuchera cylindrica,5
Hordeum jubatum,6
Hordeum jubatum,10
Hordeum jubatum,7
Hordeum jubatum,3
Hordeum jubatum,5
Hordeum jubatum,2
Holodiscus discolor,6
Holodiscus discolor,7
Holodiscus discolor,10
Juncus effusus,7
Juncus effusus,6
Juncus effusus,10
Kalmia microphylla,6
Kalmia microphylla,7
Kalmia microphylla,10
Kalmia microphylla,3
Kalmia microphylla,5
Lathyrus ochroleucus,6
Lathyrus ochroleucus,10
Lathyrus ochroleucus,3
Lathyrus ochroleucus,5
Lathyrus japonicus,7
Lathyrus japonicus,2
Lathyrus japonicus,6
Lathyrus japonicus,5
Lathyrus japonicus,3
Lathyrus nevadensis,6
Lathyrus nevadensis,10
Lathyrus nevadensis,7
Lewisia rediviva,6
Lewisia rediviva,10
Leymus cinereus,10
Leymus cinereus,6
Leymus mollis,3
Leymus mollis,2
Leymus mollis,7
Leymus mollis,6
Leymus mollis,10
