Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Geranium viscosissimum,Geranium,6,5,12,70.39025364128526,21.56795185328571,non-woody,0.91,2505.359999999999
Geum macrophyllum,Geum,21,18,19,0.260357555,18.906135268609425,non-woody,0.6,1010.9800000000004
Geum triflorum,Geum,9,4,26,65.1702861753064,14.19803952,non-woody,0.45,828.7999999999998
Goodyera oblongifolia,Goodyera,17,12,8,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Gymnocarpium dryopteris,Gymnocarpium,4,4,1,164.145816695714,20.87572485,non-woody,0.205303911,4084.0800000000004
Hedysarum alpinum,Hedysarum,15,7,12,69.79156122893934,38.3,non-woody,0.24494897400000004,868.8397857007222
Heracleum maximum,Heracleum,102,50,189,118.5780466275112,21.593604774942985,non-woody,2.43,12356.380000000003
Heuchera cylindrica,Heuchera,17,12,22,122.57040193572466,21.56103049484351,non-woody,1.82,2313.663166725692
Hierochloe odorata,Hierochloe,14,8,92,0.19,19.00321309462799,non-woody,0.350568382,33
Holodiscus discolor,Holodiscus,36,26,65,178.22957277479026,18.03820416,woody,2.928841355,661.4199999999998
Hordeum jubatum,Hordeum,17,11,6,0.24441,22.54,non-woody,0.411953429,181.00000000000006
Juncus effusus,Juncus,9,6,20,270.228,13.57264734,non-woody,0.761216973,1402.0000000000002
Juniperus communis,Juniperus,66,34,112,407.422515716,11.44467354,woody,3.0414365519999995,20.680000000000003
Juniperus scopulorum,Juniperus,20,18,131,233.92209287818358,13.04468907,woody,11.458257300000001,146.18584392638118
Kalmia microphylla,Kalmia,13,8,6,151.369647801139,18.34404634147032,woody,0.3,701.4453486209687
Larix laricina,Larix,11,6,55,226.76568057547004,15.28582255,woody,23.399327270000004,33
Larix occidentalis,Larix,15,10,45,233.90807502227625,16.38228862,woody,50.83738162,25.199999999999996
Lathyrus japonicus,Lathyrus,22,15,5,69.62207206090315,23.234747653110226,non-woody,0.42837748,933.0683378732425
