Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Dryopteris expansa,Dryopteridaceae,66,37,7,Dryopteris expansa,NA,22.11655754,non-woody,269.34000000000003,3.6799999999999986e-5,1.2,59642.46000000002,98
Elaeagnus commutata,Elaeagnaceae,25,11,43,Elaeagnus commutata,NA,19.966692669037524,woody,39.48052206994824,119.17239999999998,2.8178319760000003,2574.0287552128857,99
Empetrum nigrum,Ericaceae,42,18,31,Empetrum nigrum,NA,11.41157144,woody,279.276306748081,0.9796,0.21346105600000004,4.8,100
Epilobium angustifolium,Onagraceae,85,43,4,Epilobium angustifolium,NA,28.6675871,non-woody,0.30408778500000005,0.06550000000000002,0.831719514,2207.7599999999993,101
Equisetum arvense,Equisetaceae,89,43,54,Equisetum arvense,NA,20.03828835,non-woody,181.70286413985002,2.2000000000000016e-5,0.348986214,112.81999999999995,102
Equisetum hyemale var. affine,Equisetaceae,40,26,8,Equisetum hyemale,var. affine,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,103
Equisetum telmateia,Equisetaceae,89,43,26,Equisetum telmateia,NA,19.21136858205343,non-woody,119.49333333333297,2.2000000000000016e-5,1.168182022,50.33,104
Ericameria nauseosa,Compositae,17,8,41,Ericameria nauseosa,NA,20.57577722,woody,183.9279549662226,0.7539,1.105,28.27,105
Eriophorum angustifolium,Cyperaceae,26,8,6,Eriophorum angustifolium,NA,19.2332864,non-woody,0.326532408,0.4922,0.280294636,1159.4,106
Erythronium grandiflorum,Liliaceae,13,13,25,Erythronium grandiflorum,NA,23.47544323285086,non-woody,0.5288700266782073,4.0602,0.3,2135.49,107
Eurybia conspicua,Asteraceae,8,5,8,Eurybia conspicua,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,108
Fragaria chiloensis,Rosaceae,113,51,25,Fragaria chiloensis,NA,19.29110181350837,non-woody,0.47488402307684346,0.74,0.24,483.4369256380771,109
Fragaria vesca,Rosaceae,113,51,28,Fragaria vesca,NA,18.41902786,non-woody,388.00000000000006,0.3229,0.11388025699999998,1112.1100000000001,110
Fragaria virginiana,Rosaceae,113,51,76,Fragaria virginiana,NA,14.74564927,non-woody,0.470839011,0.4771,0.10693312799999999,1285.8100000000002,111
Frangula purshiana,Rhamnaceae,52,26,62,Frangula purshiana,NA,21.409106546007923,woody,47.20448471665391,37.99360000000001,10.33,2442.3000526042474,112
Frasera montana,Gentianaceae,5,4,1,Frasera montana,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,113
Fritillaria affinis,Liliaceae,17,13,12,Fritillaria affinis,NA,23.464288610944504,non-woody,0.7071045246779648,2.2,0.8067468851055823,2504.771055198388,114
Fritillaria camschatcensis,Liliaceae,34,21,14,Fritillaria camschatcensis,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,115
Fritillaria pudica,Liliaceae,16,9,20,Fritillaria pudica,NA,19.1179302769833,non-woody,0.9089583473041116,2.3157,0.3,717.9734235025558,116
Gaillardia aristata,Compositae,12,5,19,Gaillardia aristata,NA,23.96101648116909,non-woody,0.39729908101724415,8.540099999999999,0.6,3367.2030363996187,117
Galium aparine,Rubiaceae,36,20,19,Galium aparine,NA,25.66632034,non-woody,0.139310853,7.752200000000001,0.389570305,159.04999999999998,118
Galium triflorum,Rubiaceae,36,20,19,Galium triflorum,NA,19.05135813,non-woody,0.5729733773311476,0.7321,0.2678668938697657,507.3503009012529,119
Gaultheria shallon,Ericaceae,77,30,82,Gaultheria shallon,NA,8.890435201,woody,64.01533697719422,0.11909999999999997,1.471306473,3019.000000000001,120
Geranium viscosissimum,Geraniaceae,6,5,12,Geranium viscosissimum,NA,25.991175147315186,non-woody,0.4923702421824928,8.489500000000001,0.91,2505.359999999999,121
Geum macrophyllum,Rosaceae,21,18,19,Geum macrophyllum,NA,20.380028610834536,non-woody,0.260357555,1.5367,0.6,1010.9800000000004,122
Geum triflorum,Rosaceae,9,4,26,Geum triflorum,NA,14.19803952,non-woody,0.553871954039327,0.6286,0.45,828.7999999999998,123
Glaux maritima,Primulaceae,4,3,3,Glaux maritima,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,124
Goodyera oblongifolia,Orchidaceae,17,12,8,Goodyera oblongifolia,NA,24.532226113752216,non-woody,8.408186378557408,0.0014000000000000004,0.8573777454635417,1655.8910719573691,125
Gymnocarpium dryopteris,Cystopteridaceae,4,4,1,Gymnocarpium dryopteris,NA,20.87572485,non-woody,164.14581669571405,2.2000000000000016e-5,0.205303911,4084.0800000000004,126
Hackelia diffusa,Boraginaceae,7,5,1,Hackelia diffusa,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,127
