original_name,Synonym
Eurybia conspicua,Aster conspicuus
Glaux maritima,Lysimachia maritima
Lappula occidentalis,Lappula redowskii
Ledum glandulosum,Ledum glandulosum
Ledum groenlandicum,Ledum groenlandicum
Mahonia nervosa,Berberis nervosa
Phyllospadix scouleri,Phyllospadix iwatensis
Platanthera stricta,Platanthera dilatata
Polypodium glycyrrhiza,Polypodium vulgare
Pseudoroegneria spicata,Elymus spicatus
Rhodiola rosea,Rhodiola rosea var. rosea
Toxicodendron rydbergii,Toxicodendron radicans
Zigadenus elegans,Anticlea elegans
Zigadenus venenosus,Toxicoscordion venenosum
