Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Dasiphora fruticosa,,,(L.) Rydb.,,NA,shrubby cinquefoil,Rosaceae,Y,N,NA,NA,/,requested,Dasiphora fruticosa,Dasiphora fruticosa (L.) Rydb.,Dasiphora fruticosa,Dasiphora fruticosa,Dasiphora
Delphinium nuttallianum,,,Pritz. ex Walp,,NA,larkspur,Ranunculaceae,Y,Y,NA,NA,/,requested,Delphinium nuttallianum,Delphinium nuttallianum Pritz. ex Walp,Delphinium nuttallianum,Delphinium nuttallianum,Delphinium
Dicentra formosa,,,(Haw.) Walp.,,NA,Pacific bleedingheart,Fumariaceae,Y,Y,NA,NA,/,requested,Dicentra formosa,Dicentra formosa (Haw.) Walp.,Dicentra formosa,Dicentra formosa,Dicentra
Dodecatheon hendersonii,,,A. Gray,,NA,shootingstars,Primulaceae,Y,Y,NA,NA,/,not found,Dodecatheon hendersonii,Dodecatheon hendersonii A. Gray,Dodecatheon hendersonii,Dodecatheon hendersonii,Dodecatheon
Dodecatheon pauciflorum,,,(Durand) Greene,,NA,shootingstars,Primulaceae,N,N,NA,NA,/,not found,Dodecatheon pauciflorum,Dodecatheon pauciflorum (Durand) Greene,Dodecatheon pauciflorum,Dodecatheon pauciflorum,Dodecatheon
Dodecatheon pulchellum,,,(Raf.) Merr.,,NA,shootingstars,Primulaceae,Y,Y,NA,NA,/,not found,Dodecatheon pulchellum,Dodecatheon pulchellum (Raf.) Merr.,Dodecatheon pulchellum,Dodecatheon pulchellum,Dodecatheon
Dodecatheon jeffreyi,,,Van Houtte,,NA,shootingstars,Primulaceae,Y,Y,NA,NA,/,not found,Dodecatheon jeffreyi,Dodecatheon jeffreyi Van Houtte,Dodecatheon jeffreyi,Dodecatheon jeffreyi,Dodecatheon
Drosera rotundifolia,,,L.,,NA,English sundew,Droseraceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Drosera rotundifolia,Drosera rotundifolia L.,Drosera rotundifolia,Drosera rotundifolia,Drosera
Drosera anglica,,,Huds.,,NA,English sundew,Droseraceae,Y,N,NA,NA,/,requested,Drosera anglica,Drosera anglica Huds.,Drosera anglica,Drosera anglica,Drosera
Elaeagnus commutata,,,Bernh. ex Rydb,,NA,silveryberry,Elaeagnaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Elaeagnus commutata,Elaeagnus commutata Bernh. ex Rydb,Elaeagnus commutata,Elaeagnus commutata,Elaeagnus
Empetrum nigrum,,,L.,,NA,black crowberry/blackberry,Empetraceae,Y,Y,NA,NA,/,requested,Empetrum nigrum,Empetrum nigrum L.,Empetrum nigrum,Empetrum nigrum,Empetrum
Epilobium angustifolium,,,L.,,NA,firewood,Onagraceae,Y,N,NA,NA,/,requested,Epilobium angustifolium,Epilobium angustifolium L.,Epilobium angustifolium,Epilobium angustifolium,Epilobium
Ericameria nauseosa,,,(Pall. ex Pursh) G.L. Nesom & Baird,,NA,common rabbitbrush,Asteraceae,Y,Y,NA,NA,/,requested,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,Ericameria nauseosa,Ericameria nauseosa,Ericameria
Eriophorum angustifolium,,,Honck.,,NA,cottongrass,Cyperaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Eriophorum angustifolium,Eriophorum angustifolium Honck.,Eriophorum angustifolium,Eriophorum angustifolium,Eriophorum
Eriophorum chamissonis,,,C.A. May.,,NA,cottongrass,Cyperaceae,Y,N,NA,NA,Unknown (Least Concern),requested,Eriophorum chamissonis,Eriophorum chamissonis C.A. May.,Eriophorum chamissonis,Eriophorum chamissonis,Eriophorum
Erythronium grandiflorum,,,Pursh.,,NA,yellow glacier lily/yellow avalance,Liliaceae,Y,Y,NA,NA,/,requested,Erythronium grandiflorum,Erythronium grandiflorum Pursh.,Erythronium grandiflorum,Erythronium grandiflorum,Erythronium
Eurybia conspicua,,,(Lindl.) G.L. Nesom,,NA,western showy aster,Asteraceae,Y,Y,NA,NA,/,requested,Eurybia conspicua,Eurybia conspicua (Lindl.) G.L. Nesom,Eurybia conspicua,Eurybia conspicua,Eurybia
Fragaria chiloensis,,,(L.) Mill.,,NA,seaside/beach strawberry,Rosaceae,Y,Y,NA,NA,/,requested,Fragaria chiloensis,Fragaria chiloensis (L.) Mill.,Fragaria chiloensis,Fragaria chiloensis,Fragaria
Fragaria vesca,,,L.,,NA,woodland strawberry,Rosaceae,Y,Y,NA,NA,/,requested,Fragaria vesca,Fragaria vesca L.,Fragaria vesca,Fragaria vesca,Fragaria
Fragaria virginiana,,,Duchesne,,NA,blueleaf/Virgina strawberry,Rosaceae,Y,Y,NA,NA,/,requested,Fragaria virginiana,Fragaria virginiana Duchesne,Fragaria virginiana,Fragaria virginiana,Fragaria
Frangula purshiana,,,(DC.) Cooper,,NA,Cascara,Rhamnaceae,Y,Y,NA,NA,Decreasing (Least Concern),requested,Frangula purshiana,Frangula purshiana (DC.) Cooper,Frangula purshiana,Frangula purshiana,Frangula
Frasera montana,,,Mulford,,NA,White Frasera,Gentianaceae,Y,Y,NA,NA,/,requested,Frasera montana,Frasera montana Mulford,Frasera montana,Frasera montana,Frasera
Fritillaria affinis,,,(Schult.) Sealy,,NA,chocolate lily/riceroot,Liliaceae,Y,Y,NA,NA,/,requested,Fritillaria affinis,Fritillaria affinis (Schult.) Sealy,Fritillaria affinis,Fritillaria affinis,Fritillaria
Fritillaria camschatcensis,,,(L.) Ker Gawl.,,NA,"northern riceroot, Kamchatka fritillaria, sarana lily",Liliaceae,Y,Y,NA,NA,/,requested,Fritillaria camschatcensis,Fritillaria camschatcensis (L.) Ker Gawl.,Fritillaria camschatcensis,Fritillaria camschatcensis,Fritillaria
Fritillaria pudica,,,(Pursh) Spreng.,,NA,yellowbells/yellow fritillary,Liliaceae,Y,Y,NA,NA,/,requested,Fritillaria pudica,Fritillaria pudica (Pursh) Spreng.,Fritillaria pudica,Fritillaria pudica,Fritillaria
Gaillardia aristata,,,Pursh,,NA,"brown-eyed Susan, blanketflower, or common gaillardia",Asteraceae,Y,Y,NA,NA,/,requested,Gaillardia aristata,Gaillardia aristata Pursh,Gaillardia aristata,Gaillardia aristata,Gaillardia
Galium aparine,,,L.,,NA,common bedstraw,Rubiaceae,Y,Y,NA,NA,/,requested,Galium aparine,Galium aparine L.,Galium aparine,Galium aparine,Galium
Galium triflorum,,,Michx.,,NA,sweet-scented bedstraw,Rubiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Galium triflorum,Galium triflorum Michx.,Galium triflorum,Galium triflorum,Galium
Gaultheria shallon,,,Pursh,,NA,salal,Ericaceae,Y,Y,NA,NA,/,requested,Gaultheria shallon,Gaultheria shallon Pursh,Gaultheria shallon,Gaultheria shallon,Gaultheria
Geranium viscosissimum,,,Fisch. & C.A. Mey. ex C.A. Mey.,,NA,sticky purple geranium,Geraniaceae,Y,Y,NA,NA,/,requested,Geranium viscosissimum,Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.,Geranium viscosissimum,Geranium viscosissimum,Geranium
Geum macrophyllum,,,Willd.,,NA,large-leaved avens,Rosaceae,Y,Y,NA,NA,/,requested,Geum macrophyllum,Geum macrophyllum Willd.,Geum macrophyllum,Geum macrophyllum,Geum
Geum triflorum,,,Pursh,,NA,old man’s whiskers/prairie smoke,Rosaceae,Y,Y,NA,NA,/,requested,Geum triflorum,Geum triflorum Pursh,Geum triflorum,Geum triflorum,Geum
Glaux maritima,,,L.,,NA,sea milkwort,Primulaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Glaux maritima,Glaux maritima L.,Glaux maritima,Glaux maritima,Glaux
Goodyera oblongifolia,,,Raf.,,NA,western rattlesnake plantain,Orchidaceae,Y,Y,NA,NA,/,requested,Goodyera oblongifolia,Goodyera oblongifolia Raf.,Goodyera oblongifolia,Goodyera oblongifolia,Goodyera
Hackelia diffusa,,,(Lehm.) I.M. Johnst.,,NA,spreading stickseed,Boraginaceae,Y,Y,NA,NA,/,requested,Hackelia diffusa,Hackelia diffusa (Lehm.) I.M. Johnst.,Hackelia diffusa,Hackelia diffusa,Hackelia
Lappula occidentalis,,,(S. Watson) Greene,,NA,western stickseed,Boraginaceae,Y,Y,NA,NA,/,requested,Lappula occidentalis,Lappula occidentalis (S. Watson) Greene,Lappula occidentalis,Lappula occidentalis,Lappula
Hedysarum alpinum,,,L.,,NA,alpine sweetvetch,Fabaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Hedysarum alpinum,Hedysarum alpinum L.,Hedysarum alpinum,Hedysarum alpinum,Hedysarum
Heracleum maximum,,,Bartram,,NA,common cow-parsnip,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),not found,Heracleum maximum,Heracleum maximum Bartram,Heracleum maximum,Heracleum maximum,Heracleum
Heuchera cylindrica,,,Douglas ex Hook.,,NA,roundleaf alumroot,Saxifragaceae,Y,Y,NA,NA,/,requested,Heuchera cylindrica,Heuchera cylindrica Douglas ex Hook.,Heuchera cylindrica,Heuchera cylindrica,Heuchera
Heuchera chlorantha,,,Piper,,NA,meadow alumroot,Saxifragaceae,Y,N,NA,NA,/,request,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera chlorantha,Heuchera chlorantha,Heuchera
Hierochloe hirta,,,(Schrank) Borbás,,NA,northern sweetgrass,Poaceae,Y,N,NA,NA,/,not found,Hierochloe hirta,Hierochloe hirta (Schrank) Borbás,Hierochloe hirta,Hierochloe hirta,Hierochloe
Hordeum jubatum,,,L.,,NA,foxtail barley,Poaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Hordeum jubatum,Hordeum jubatum L.,Hordeum jubatum,Hordeum jubatum,Hordeum
Holodiscus discolor,,,(Pursh) Maxim,,NA,oceanspray,Rosaceae,Y,Y,NA,NA,/,requested,Holodiscus discolor,Holodiscus discolor (Pursh) Maxim,Holodiscus discolor,Holodiscus discolor,Holodiscus
Juncus effusus,,,L.,,NA,common rush,Juncaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Juncus effusus,Juncus effusus L.,Juncus effusus,Juncus effusus,Juncus
Kalmia microphylla,,,(Hook.) A. Heller,,NA,bog/swamp laurel,Ericaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Kalmia microphylla,Kalmia microphylla (Hook.) A. Heller,Kalmia microphylla,Kalmia microphylla,Kalmia
Lathyrus ochroleucus,,,Hook.,,NA,cream pea,Fabaceae,Y,Y,NA,NA,/,requested,Lathyrus ochroleucus,Lathyrus ochroleucus Hook.,Lathyrus ochroleucus,Lathyrus ochroleucus,Lathyrus
Lathyrus japonicus,,,Willd.,,NA,beach pea,Fabaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Lathyrus japonicus,Lathyrus japonicus Willd.,Lathyrus japonicus,Lathyrus japonicus,Lathyrus
Lathyrus nevadensis,,,S. Watson,,NA,Sierra pea,Fabaceae,Y,Y,NA,NA,/,requested,Lathyrus nevadensis,Lathyrus nevadensis S. Watson,Lathyrus nevadensis,Lathyrus nevadensis,Lathyrus
Lewisia rediviva,,,Pursh,,NA,bitterroot,Portulaceae,Y,Y,NA,NA,/,requested,Lewisia rediviva,Lewisia rediviva Pursh,Lewisia rediviva,Lewisia rediviva,Lewisia
Leymus cinereus,,,(Scribn. & Merr.) A. Love,,NA,basin/giant wildrye,Poaceae,Y,Y,NA,NA,/,requested,Leymus cinereus,Leymus cinereus (Scribn. & Merr.) A. Love,Leymus cinereus,Leymus cinereus,Leymus
Leymus mollis,,,(Trin.) Pilg.,,NA,American dunegrass,Poaceae,Y,Y,NA,NA,/,requested,Leymus mollis,Leymus mollis (Trin.) Pilg.,Leymus mollis,Leymus mollis,Leymus
Ligusticum canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,NA,Canby's lovage/Canby’s licorice-root,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Ligusticum canbyi,Ligusticum canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Ligusticum canbyi,Ligusticum canbyi,Ligusticum
Ligusticum scoticum,,,L.,,NA,Scottish lovage/ Scottish licorice-root,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Ligusticum scoticum,Ligusticum scoticum L.,Ligusticum scoticum,Ligusticum scoticum,Ligusticum
Lilium columbianum,,,Leichtlin,,NA,tiger lily/Columbia lily,Liliaceae,Y,Y,NA,NA,/,requested,Lilium columbianum,Lilium columbianum Leichtlin,Lilium columbianum,Lilium columbianum,Lilium
Linnaea borealis,,,L.,,NA,twinflower,Caprifoliaceae,Y,Y,NA,NA,/,requested,Linnaea borealis,Linnaea borealis L.,Linnaea borealis,Linnaea borealis,Linnaea
Lithospermum ruderale,,,Douglas ex Lehm.,,NA,western stoneseed,Boraginaceae,Y,Y,NA,NA,/,requested,Lithospermum ruderale,Lithospermum ruderale Douglas ex Lehm.,Lithospermum ruderale,Lithospermum ruderale,Lithospermum
Lomatium canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,NA,Canby’s biscuitroot,Apiaceae,Y,Y,NA,NA,/,requested,Lomatium canbyi,Lomatium canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Lomatium canbyi,Lomatium canbyi,Lomatium
Lomatium cous,,,(S. Watson) J.M. Coult. & Rose,,NA,/,Apiaceae,Y,Y,NA,NA,/,requested,Lomatium cous,Lomatium cous (S. Watson) J.M. Coult. & Rose,Lomatium cous,Lomatium cous,Lomatium
Lomatium dissectum,,,(Nutt.) Mathias & Constance,,NA,"chocolate tips, or fernleaf biscuitroot",Apiaceae,Y,Y,NA,NA,/,requested,Lomatium dissectum,Lomatium dissectum (Nutt.) Mathias & Constance,Lomatium dissectum,Lomatium dissectum,Lomatium
Lomatium geyeri,,,(S. Watson) J.M. Coult. & Rose,,NA,Geyer’s biscuitroot,Apiaceae,Y,Y,NA,NA,/,requested,Lomatium geyeri,Lomatium geyeri (S. Watson) J.M. Coult. & Rose,Lomatium geyeri,Lomatium geyeri,Lomatium
Lomatium macrocarpum,,,(Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,,NA,desert parsley/bigseed biscuitroot,Apiaceae,N,Y,NA,NA,/,requested,Lomatium macrocarpum,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,Lomatium macrocarpum,Lomatium macrocarpum,Lomatium
Lomatium nudicaule,,,(Pursh) J.M. Coult. & Rose,,NA,"“wild celery,” barestem lomatium/barestem biscuitroot",Apiaceae,Y,Y,NA,NA,/,requested,Lomatium nudicaule,Lomatium nudicaule (Pursh) J.M. Coult. & Rose,Lomatium nudicaule,Lomatium nudicaule,Lomatium
Lonicera ciliosa,,,(Pursh) Poir. ex DC.,,NA,orange honeysuckle,Caprifoliaceae,Y,Y,NA,NA,/,requested,Lonicera ciliosa,Lonicera ciliosa (Pursh) Poir. ex DC.,Lonicera ciliosa,Lonicera ciliosa,Lonicera
Lonicera involucrata,,,(Richardson) Banks ex Spreng.,,NA,"black twinberry, or twinflower honeysuckle",Caprifoliaceae,Y,Y,NA,NA,/,requested,Lonicera involucrata,Lonicera involucrata (Richardson) Banks ex Spreng.,Lonicera involucrata,Lonicera involucrata,Lonicera
Lupinus nootkatensis,,,Donn ex Sims,,NA,Nootka lupine,Fabaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Lupinus nootkatensis,Lupinus nootkatensis Donn ex Sims,Lupinus nootkatensis,Lupinus nootkatensis,Lupinus
Lupinus polyphyllus,,,Lindl,,NA,bigleaf lupine,Fabaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Lupinus polyphyllus,Lupinus polyphyllus Lindl,Lupinus polyphyllus,Lupinus polyphyllus,Lupinus
Lysichiton americanus,,,Hultén & H. St. John,,NA,American skunk-cabbage,Araceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Lysichiton americanus,Lysichiton americanus Hultén & H. St. John,Lysichiton americanus,Lysichiton americanus,Lysichiton
Mahonia aquifolium,,,(Pursh) Nutt.,,NA,tall Oregon-grape,Berberidaceae,Y,Y,NA,NA,/,not found,Mahonia aquifolium,Mahonia aquifolium (Pursh) Nutt.,Mahonia aquifolium,Mahonia aquifolium,Mahonia
Mahonia nervosa,,,(Pursh) Nutt.,,NA,dull-leaved Oregon-grape,Berberidaceae,N,Y,NA,NA,/,not found,Mahonia nervosa,Mahonia nervosa (Pursh) Nutt.,Mahonia nervosa,Mahonia nervosa,Mahonia
Maianthemum dilatatum,,,(Alph. Wood) A. Nelson & J.F. Macbr.,,NA,"wild lily-of-thevalley, or false lily-of-the-valley",Liliaceae,Y,Y,NA,NA,/,requested,Maianthemum dilatatum,Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr.,Maianthemum dilatatum,Maianthemum dilatatum,Maianthemum
Maianthemum racemosum,ssp. amplexicaule,,NA,(Nutt.) LaFrankie,NA,false Solomon's-seal,Liliaceae,Y,Y,NA,NA,/,requested,Maianthemum racemosum subsp. amplexicaule,Maianthemum racemosum NA ssp. amplexicaule (Nutt.) LaFrankie,Maianthemum racemosum subsp. amplexicaule,Maianthemum racemosum ssp. amplexicaule,Maianthemum
Malus fusca,,,(Raf.) C.K. Schneid,,NA,Pacific crabapple,Rosaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Malus fusca,Malus fusca (Raf.) C.K. Schneid,Malus fusca,Malus fusca,Malus
Mentha arvensis,,,L.,,NA,field mint/Canada mint,Lamiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Mentha arvensis,Mentha arvensis L.,Mentha arvensis,Mentha arvensis,Mentha
Menziesia ferruginea,,,Sm.,,NA,false azalea/fool’s huckleberry,Ericaceae,Y,Y,NA,NA,/,not found,Menziesia ferruginea,Menziesia ferruginea Sm.,Menziesia ferruginea,Menziesia ferruginea,Menziesia
Moneses uniflora,,,(L.) A. Gray,,NA,single delight/one-flowered pyrola,Ericaceae,Y,Y,NA,NA,/,requested,Moneses uniflora,Moneses uniflora (L.) A. Gray,Moneses uniflora,Moneses uniflora,Moneses
Monotropa uniflora,,,L.,,NA,Indian-pipe,Monotropaceae,Y,Y,NA,NA,/,requested,Monotropa uniflora,Monotropa uniflora L.,Monotropa uniflora,Monotropa uniflora,Monotropa
Myrica gale,,,L.,,NA,sweetgale,Myricaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Myrica gale,Myrica gale L.,Myrica gale,Myrica gale,Myrica
Nicotiana attenuata,,,Torr. ex S. Watson,,NA,wild/coyote tobacco,Solanaceae,N,Y,NA,NA,/,requested,Nicotiana attenuata,Nicotiana attenuata Torr. ex S. Watson,Nicotiana attenuata,Nicotiana attenuata,Nicotiana
Nicotiana quadrivalvis,,,Pursh,,NA,Haida/Northwest Coast tobacco,Solanaceae,Y,Y,NA,NA,/,requested,Nicotiana quadrivalvis,Nicotiana quadrivalvis Pursh,Nicotiana quadrivalvis,Nicotiana quadrivalvis,Nicotiana
Nicotiana tabacum,,,L.,,NA,cultivated tobacco,Solanaceae,Y,Y,NA,NA,/,requested,Nicotiana tabacum,Nicotiana tabacum L.,Nicotiana tabacum,Nicotiana tabacum,Nicotiana
Nuphar lutea,,,(L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,,NA,yellow pond-lily,Nymphaeaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Nuphar lutea,Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,Nuphar lutea,Nuphar lutea,Nuphar
Oemleria cerasiformis,,,(Torr. & A. Gray ex Hook. & Arn.) Landon,,NA,"bird plum, bird cherry",Rosaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Oemleria cerasiformis,Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Oemleria cerasiformis,Oemleria cerasiformis,Oemleria
Oenanthe sarmentosa,,,C. Presl ex DC.,,NA,water-parsley,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Oenanthe sarmentosa,Oenanthe sarmentosa C. Presl ex DC.,Oenanthe sarmentosa,Oenanthe sarmentosa,Oenanthe
Oplopanax horridus,,,(Sm.) Miq.,,NA,devil’s-club,Araliaceae,Y,Y,NA,NA,/,requested,Oplopanax horridus,Oplopanax horridus (Sm.) Miq.,Oplopanax horridus,Oplopanax horridus,Oplopanax
Opuntia fragilis,,,(Nutt.) Haw.,,NA,brittle pricklypear cactus,Cactaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Opuntia fragilis,Opuntia fragilis (Nutt.) Haw.,Opuntia fragilis,Opuntia fragilis,Opuntia
Opuntia polyacantha,,,Haw.,,NA,plains pricklypear cactus,Cactaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Opuntia polyacantha,Opuntia polyacantha Haw.,Opuntia polyacantha,Opuntia polyacantha,Opuntia
Osmorhiza berteroi,,,DC,,NA,sweet cicely,Apiaceae,Y,Y,NA,NA,/,requested,Osmorhiza berteroi,Osmorhiza berteroi DC,Osmorhiza berteroi,Osmorhiza berteroi,Osmorhiza
Osmorhiza occidentalis,,,(Nutt.) Torr.,,NA,western sweet cicely/ “sweetroot”,Apiaceae,Y,Y,NA,NA,/,requested,Osmorhiza occidentalis,Osmorhiza occidentalis (Nutt.) Torr.,Osmorhiza occidentalis,Osmorhiza occidentalis,Osmorhiza
Oxalis oregana,,,Nutt.,,NA,Oregon woodsorrel,Oxalidaceae,Y,Y,NA,NA,/,requested,Oxalis oregana,Oxalis oregana Nutt.,Oxalis oregana,Oxalis oregana,Oxalis
Oxyria digyna,,,(L.) Hill,,NA,mountain sorrel,Polygonaceae,Y,Y,NA,NA,/,requested,Oxyria digyna,Oxyria digyna (L.) Hill,Oxyria digyna,Oxyria digyna,Oxyria
Paxistima myrsinites,,,(Pursh) Raf.,,NA,false box/Oregon boxleaf,Celastraceae,Y,Y,NA,NA,/,requested,Paxistima myrsinites,Paxistima myrsinites (Pursh) Raf.,Paxistima myrsinites,Paxistima myrsinites,Paxistima
Penstemon fruticosus,,,(Pursh) Greene,,NA,shrubby penstemon,Scrophulariaceae,Y,Y,NA,NA,/,requested,Penstemon fruticosus,Penstemon fruticosus (Pursh) Greene,Penstemon fruticosus,Penstemon fruticosus,Penstemon
Perideridia gairdneri,,,(Hook. & Arn.) Mathias,,NA,wild caraway/yampah,Apiaceae,Y,Y,NA,NA,/,requested,Perideridia gairdneri,Perideridia gairdneri (Hook. & Arn.) Mathias,Perideridia gairdneri,Perideridia gairdneri,Perideridia
Petasites frigidus,,,(L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,,NA,arrowleaf sweet coltsfoot,Asteraceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Petasites frigidus,Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,Petasites frigidus,Petasites frigidus,Petasites
Phalaris arundinacea,,,L.,,NA,reed canarygrass,Poaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Phalaris arundinacea,Phalaris arundinacea L.,Phalaris arundinacea,Phalaris arundinacea,Phalaris
Philadelphus lewisii,,,Pursh,,NA,mock-orange,Hydrangeaceae,Y,Y,NA,NA,/,requested,Philadelphus lewisii,Philadelphus lewisii Pursh,Philadelphus lewisii,Philadelphus lewisii,Philadelphus
Phyllospadix scouleri,,,Hook. and P. torreyi S. Watson,,NA,surf-grass/seagrass,Zosteraceae,Y,Y,NA,NA,Stable (Least Concern),requested,Phyllospadix scouleri,Phyllospadix scouleri Hook. and P. torreyi S. Watson,Phyllospadix scouleri,Phyllospadix scouleri,Phyllospadix
Physocarpus capitatus,,,(Pursh) Kuntze,,NA,Pacific ninebark,Rosaceae,Y,Y,NA,NA,/,requested,Physocarpus capitatus,Physocarpus capitatus (Pursh) Kuntze,Physocarpus capitatus,Physocarpus capitatus,Physocarpus
Physocarpus malvaceus,,,(Greene) Kuntze,,NA,mallow ninebark,Rosaceae,Y,Y,NA,NA,/,requested,Physocarpus malvaceus,Physocarpus malvaceus (Greene) Kuntze,Physocarpus malvaceus,Physocarpus malvaceus,Physocarpus
Plantago major,,,L.,,NA,"broadleaved plantain, or common plantain",Plantaginaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Plantago major,Plantago major L.,Plantago major,Plantago major,Plantago
Plantago maritima,,,L.,,NA,"seaside plantain, or goose tongue",Plantaginaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Plantago maritima,Plantago maritima L.,Plantago maritima,Plantago maritima,Plantago
Platanthera dilatata,,,(Pursh) Lindl. ex Beck,,NA,scented bog orchid,Orchidaceae,Y,Y,NA,NA,/,requested,Platanthera dilatata,Platanthera dilatata (Pursh) Lindl. ex Beck,Platanthera dilatata,Platanthera dilatata,Platanthera
Platanthera stricta,,,Lindl.,,NA,slender bog orchid,Orchidaceae,Y,Y,NA,NA,/,requested,Platanthera stricta,Platanthera stricta Lindl.,Platanthera stricta,Platanthera stricta,Platanthera
Platanthera hyperborea,,,(L.) Lindl,,NA,northern green orchid,Orchidaceae,Y,N,NA,NA,Unknown (Least Concern),requested,Platanthera hyperborea,Platanthera hyperborea (L.) Lindl,Platanthera hyperborea,Platanthera hyperborea,Platanthera
Populus balsamifera,ssp. balsamifera,,L.,,NA,balsam poplar,Salicaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Populus balsamifera subsp. balsamifera,Populus balsamifera L. ssp. balsamifera,Populus balsamifera subsp. balsamifera,Populus balsamifera ssp. balsamifera,Populus
Populus balsamifera,ssp. trichocarpa,,L.,(Torr. & A. Gray ex Hook.) Brayshaw,NA,black cottonwood,Salicaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Populus balsamifera subsp. trichocarpa,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,Populus balsamifera subsp. trichocarpa,Populus balsamifera ssp. trichocarpa,Populus
Populus tremuloides,,,Michx,,NA,trembling aspen,Salicaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Populus tremuloides,Populus tremuloides Michx,Populus tremuloides,Populus tremuloides,Populus
Potamogeton natans,,,L.,,NA,floating pondweed,Potamogetonaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Potamogeton natans,Potamogeton natans L.,Potamogeton natans,Potamogeton natans,Potamogeton
