Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Rumex aquaticus,,,L. var. fenestratus (Greene) Dorn,,NA,western dock,Polygonaceae,Y,Y,NA,NA,/,requested,Rumex aquaticus,Rumex aquaticus L. var. fenestratus (Greene) Dorn,Rumex aquaticus,Rumex aquaticus,Rumex
Sagittaria latifolia,,,Willd.,,NA,"wapato, or broadleaf arrowhead",Alismataceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Sagittaria latifolia,Sagittaria latifolia Willd.,Sagittaria latifolia,Sagittaria latifolia,Sagittaria
Sagittaria cuneata,,,Sheldon,,NA,arumleaf arrowhead,Alismataceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Sagittaria cuneata,Sagittaria cuneata Sheldon,Sagittaria cuneata,Sagittaria cuneata,Sagittaria
Salix barclayi,,,Andersson,,NA,Barclay’s willow,Salicaeae,Y,N,NA,NA,Stable (Least Concern),requested,Salix barclayi,Salix barclayi Andersson,Salix barclayi,Salix barclayi,Salix
Salix bebbiana,,,Sarg.,,NA,Bebb willow,Salicaeae,Y,Y,NA,NA,Unknown (Least Concern),requested,Salix bebbiana,Salix bebbiana Sarg.,Salix bebbiana,Salix bebbiana,Salix
Salix discolor,,,Muhl.,,NA,pussy willow,Salicaeae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix discolor,Salix discolor Muhl.,Salix discolor,Salix discolor,Salix
Salix hookeriana,,,Barratt ex Hook.,,NA,Hooker's willow,Salicaeae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix hookeriana,Salix hookeriana Barratt ex Hook.,Salix hookeriana,Salix hookeriana,Salix
Salix scouleriana,,,Barratt ex Hook.,,NA,Scouler’s willow,Salicaeae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix scouleriana,Salix scouleriana Barratt ex Hook.,Salix scouleriana,Salix scouleriana,Salix
Salix sitchensis,,,Sanson ex Bong.,,NA,Sitka willow,Salicaeae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix sitchensis,Salix sitchensis Sanson ex Bong.,Salix sitchensis,Salix sitchensis,Salix
Salix exigua,,,Nutt.,,NA,"sandbar willow, or rope willow",Salicaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix exigua,Salix exigua Nutt.,Salix exigua,Salix exigua,Salix
Salix lucida,,,Muhl. ssp. lasiandra (Benth.) E. Murray,,NA,Pacific willow,Salicaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Salix lucida,Salix lucida Muhl. ssp. lasiandra (Benth.) E. Murray,Salix lucida,Salix lucida,Salix
Sambucus nigra,,,L. ssp. cerulea (Raf.) R. Bolli,,NA,blue elderberry,Caprifoliaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Sambucus nigra,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,Sambucus nigra,Sambucus nigra,Sambucus
Sambucus racemosa,,,L.,,NA,red elderberry,Caprifoliaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Sambucus racemosa,Sambucus racemosa L.,Sambucus racemosa,Sambucus racemosa,Sambucus
Schoenoplectus acutus,,,(Muhl. ex Bigelow) A. Löve & D. Löve,,NA,hardstem bulrush,Cyperaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Schoenoplectus acutus,Schoenoplectus acutus (Muhl. ex Bigelow) A. Löve & D. Löve,Schoenoplectus acutus,Schoenoplectus acutus,Schoenoplectus
Schoenoplectus americanus,,,(Pers.) Volkart ex Schinz & R. Keller,,NA,Olney’s three-square bulrush,Cyperaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Schoenoplectus americanus,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Schoenoplectus americanus,Schoenoplectus americanus,Schoenoplectus
Scirpus microcarpus,,,J. Presl & C. Presl,,NA,"small-flowered bulrush, or “cutgrass”",Cyperaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Scirpus microcarpus,Scirpus microcarpus J. Presl & C. Presl,Scirpus microcarpus,Scirpus microcarpus,Scirpus
Sedum divergens,,,S. Watson,,NA,Pacific stonecrop,Crassulaceae,Y,Y,NA,NA,/,requested,Sedum divergens,Sedum divergens S. Watson,Sedum divergens,Sedum divergens,Sedum
Sedum oreganum,,,Nutt.,,NA,Oregon stonecrop,Crassulaceae,Y,N,NA,NA,/,requested,Sedum oreganum,Sedum oreganum Nutt.,Sedum oreganum,Sedum oreganum,Sedum
Shepherdia canadensis,,,(L.) Nutt.,,NA,"soapberry, or russet buffaloberry",Elaeagnaceae,Y,Y,NA,NA,/,requested,Shepherdia canadensis,Shepherdia canadensis (L.) Nutt.,Shepherdia canadensis,Shepherdia canadensis,Shepherdia
Sium suave,,,Walter,,NA,water-parsnip,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Sium suave,Sium suave Walter,Sium suave,Sium suave,Sium
Solidago canadensis,,,L.,,NA,Canada goldenrod,Asteraceae,Y,Y,NA,NA,/,requested,Solidago canadensis,Solidago canadensis L.,Solidago canadensis,Solidago canadensis,Solidago
Sorbus sitchensis,,,M. Roem.,,NA,western mountain-ash,Rosaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Sorbus sitchensis,Sorbus sitchensis M. Roem.,Sorbus sitchensis,Sorbus sitchensis,Sorbus
Sorbus scopulina,,,Greene,,NA,Greene’s mountain-ash,Rosaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Sorbus scopulina,Sorbus scopulina Greene,Sorbus scopulina,Sorbus scopulina,Sorbus
Spiraea betulifolia,,,Pall,,NA,birch-leaved spiraea,Rosaceae,Y,Y,NA,NA,/,requested,Spiraea betulifolia,Spiraea betulifolia Pall,Spiraea betulifolia,Spiraea betulifolia,Spiraea
Spiraea douglasii,,,Hook.,,NA,hardhack,Rosaceae,Y,Y,NA,NA,/,requested,Spiraea douglasii,Spiraea douglasii Hook.,Spiraea douglasii,Spiraea douglasii,Spiraea
Stachys chamissonis,,,Benth. var. cooleyae (A. Heller) G. Mulligan & D. Munro,,NA,coastal hedge-nettle,Lamiaceae,Y,N,NA,NA,/,requested,Stachys chamissonis,Stachys chamissonis Benth. var. cooleyae (A. Heller) G. Mulligan & D. Munro,Stachys chamissonis,Stachys chamissonis,Stachys
Streptopus amplexifolius,,,(L.) DC.,,NA,clasping twistedstalk,Liliaceae,Y,Y,NA,NA,/,requested,Streptopus amplexifolius,Streptopus amplexifolius (L.) DC.,Streptopus amplexifolius,Streptopus amplexifolius,Streptopus
Streptopus streptopoides,,,(Ledeb.) Frye & Rigg,,NA,small twistedstalk,Liliaceae,Y,N,NA,NA,/,requested,Streptopus streptopoides,Streptopus streptopoides (Ledeb.) Frye & Rigg,Streptopus streptopoides,Streptopus streptopoides,Streptopus
Symphoricarpos albus,,,(L.) S.F. Blake,,NA,"common snowberry, or waxberry",Caprifoliaceae,Y,Y,NA,NA,/,requested,Symphoricarpos albus,Symphoricarpos albus (L.) S.F. Blake,Symphoricarpos albus,Symphoricarpos albus,Symphoricarpos
Thalictrum occidentale,,,Gray,,NA,western meadowrue,Ranunculaceae,Y,Y,NA,NA,/,requested,Thalictrum occidentale,Thalictrum occidentale Gray,Thalictrum occidentale,Thalictrum occidentale,Thalictrum
Toxicodendron rydbergii,,,(Small ex Rydb.) Greene,,NA,western poison-ivy,Anacardiaceae,Y,Y,NA,NA,/,requested,Toxicodendron rydbergii,Toxicodendron rydbergii (Small ex Rydb.) Greene,Toxicodendron rydbergii,Toxicodendron rydbergii,Toxicodendron
Trifolium wormskioldii,,,Lehm.,,NA,springbank clover,Fabaceae,Y,Y,NA,NA,/,requested,Trifolium wormskioldii,Trifolium wormskioldii Lehm.,Trifolium wormskioldii,Trifolium wormskioldii,Trifolium
Triglochin maritima,,,L.,,NA,seaside arrowgrass,Juncaginaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Triglochin maritima,Triglochin maritima L.,Triglochin maritima,Triglochin maritima,Triglochin
Trillium ovatum,,,Pursh,,NA,western trillium,Liliaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Trillium ovatum,Trillium ovatum Pursh,Trillium ovatum,Trillium ovatum,Trillium
Trillium petiolatum,,,Pursh,,NA,round-leaved trillium,Liliaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Trillium petiolatum,Trillium petiolatum Pursh,Trillium petiolatum,Trillium petiolatum,Trillium
Triteleia grandiflora,,,Lindl,,NA,large-flowered triteleia,Liliaceae,Y,Y,NA,NA,/,requested,Triteleia grandiflora,Triteleia grandiflora Lindl,Triteleia grandiflora,Triteleia grandiflora,Triteleia
Typha latifolia,,,L.,,NA,cattail,Typhaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Typha latifolia,Typha latifolia L.,Typha latifolia,Typha latifolia,Typha
Urtica dioica,,,L.,,NA,stinging nettle,Urticaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Urtica dioica,Urtica dioica L.,Urtica dioica,Urtica dioica,Urtica
Vaccinium alaskaense,,,Howell,,NA,Alaska blueberry,Ericaceae,Y,N,NA,NA,/,requested,Vaccinium alaskaense,Vaccinium alaskaense Howell,Vaccinium alaskaense,Vaccinium alaskaense,Vaccinium
Vaccinium caespitosum,,,Michx.,,NA,dwarf bilberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium caespitosum,Vaccinium caespitosum Michx.,Vaccinium caespitosum,Vaccinium caespitosum,Vaccinium
Vaccinium membranaceum,,,Douglas ex Torr.,,NA,"black mountain huckleberry, or thinleaf huckleberry",Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium membranaceum,Vaccinium membranaceum Douglas ex Torr.,Vaccinium membranaceum,Vaccinium membranaceum,Vaccinium
Vaccinium myrtilloides,,,Michx.,,NA,"velvetleaf blueberry, or Canada blueberry",Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium myrtilloides,Vaccinium myrtilloides Michx.,Vaccinium myrtilloides,Vaccinium myrtilloides,Vaccinium
Vaccinium ovalifolium,,,Sm.,,NA,oval-leaved blueberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium ovalifolium,Vaccinium ovalifolium Sm.,Vaccinium ovalifolium,Vaccinium ovalifolium,Vaccinium
Vaccinium ovatum,,,Pursh,,NA,evergreen huckleberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium ovatum,Vaccinium ovatum Pursh,Vaccinium ovatum,Vaccinium ovatum,Vaccinium
Vaccinium oxycoccos,,,L.,,NA,"bog cranberry, or small cranberry",Ericaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Vaccinium oxycoccos,Vaccinium oxycoccos L.,Vaccinium oxycoccos,Vaccinium oxycoccos,Vaccinium
Vaccinium parvifolium,,,Sm.,,NA,red huckleberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium parvifolium,Vaccinium parvifolium Sm.,Vaccinium parvifolium,Vaccinium parvifolium,Vaccinium
Vaccinium scoparium,,,Leiberg ex Coville,,NA,grouseberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium scoparium,Vaccinium scoparium Leiberg ex Coville,Vaccinium scoparium,Vaccinium scoparium,Vaccinium
Vaccinium myrtillus,,,L.,,NA,whortleberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium myrtillus,Vaccinium myrtillus L.,Vaccinium myrtillus,Vaccinium myrtillus,Vaccinium
Vaccinium uliginosum,,,L.,,NA,bog blueberry,Ericaceae,Y,Y,NA,NA,/,requested,Vaccinium uliginosum,Vaccinium uliginosum L.,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium
Vaccinium vitis-idaea,,,L.,,NA,"lingonberry, or lowbush cranberry",Ericaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium
