Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Claytonia lanceolata,Montiaceae,30,18,13,Claytonia lanceolata,NA,18.967101451335346,non-woody,74.50391651954634,1.11,0.8455858633209762,76.72000000000001,75
Claytonia sibirica,Montiaceae,17,7,14,Claytonia sibirica,NA,23.244305585451976,non-woody,0.07680999999999999,1.1796,0.35663531700000006,316.00000000000006,76
Clematis columbiana,Ranunculaceae,10,6,3,Clematis columbiana,NA,20.953557872311226,woody,167.92877533142038,5.33,1.5,2613.549060334568,77
Clematis ligusticifolia,Ranunculaceae,13,7,59,Clematis ligusticifolia,NA,20.640249961811975,woody,144.75078375916948,2.8439,0.3,3212.999999999998,78
Clematis occidentalis,Ranunculaceae,10,6,3,Clematis occidentalis,NA,20.824955989841413,woody,175.92229740751168,5.27,2.774479580073897,2446.111434952914,79
Clintonia uniflora,Liliaceae,10,9,10,Clintonia uniflora,NA,20.778577346515654,non-woody,42.13065152854605,4.962899999999999,0.6927523046041305,2533.848428994594,80
Comandra umbellata,Santalaceae,8,4,7,Comandra umbellata,NA,16.98419965,non-woody,71.28785441381342,89.12000000000002,0.282842712,96.61999999999998,81
Comarum palustre,Rosaceae,3,3,4,Comarum palustre,NA,13.36,non-woody,0.25,0.4222,0.371233216,2197.209999999999,82
Conioselinum gmelinii,Apiaceae,29,14,15,Conioselinum gmelinii,NA,17.141812097081747,non-woody,36.81080644896839,6.518802834688727,0.9441566185968024,4471.501316962555,83
Cornus canadensis,Cornaceae,60,30,40,Cornus canadensis,NA,18.50784993,non-woody,40.29354186955279,8.7106,0.15,771.3799999999998,84
Cornus nuttallii,Cornaceae,24,14,30,Cornus nuttallii,NA,19.66788288469448,woody,164.45872366253937,91.83589999999998,14.725854820000002,3200.0000000000027,85
Cornus sericea,Cornaceae,76,40,21,Cornus sericea,NA,17.55,woody,149.3563182423987,25.7526,2.663296645,2345.5099999999998,86
Cornus suecica,Cornaceae,60,30,2,Cornus suecica,NA,19.88696657,non-woody,0.197911602,3.4200000000000004,0.16496465099999996,301.40000000000003,87
Corylus cornuta,Betulaceae,63,29,25,Corylus cornuta,NA,19.53619192,woody,209.00571842795046,472.61130000000003,3.3940213169999995,3166.4000000000024,88
Crataegus douglasii,Rosaceae,68,25,41,Crataegus douglasii,NA,19.857281839163264,woody,163.39343979386132,22.1203,3.123716806,2797.917618852768,89
Delphinium nuttallianum,Ranunculaceae,6,4,2,Delphinium nuttallianum,NA,20.06642894933308,non-woody,65.86197161831308,0.4033,0.5912088771382515,381.9700000000001,90
Dicentra formosa,Papaveraceae,6,4,4,Dicentra formosa,NA,20.51779725335398,non-woody,44.05041814047532,1.4209,0.564621617,1870.9829524552413,91
Dodecatheon hendersonii,Primulaceae,15,9,3,Dodecatheon hendersonii,NA,21.88328229582581,non-woody,50.76414749070423,1.1493,0.6738863122745749,1966.831644417927,92
Dodecatheon jeffreyi,Primulaceae,15,9,2,Dodecatheon jeffreyi,NA,21.89394845355167,non-woody,53.566138089841814,0.53,0.6723837491842722,1863.4357340831903,93
Dodecatheon pulchellum,Primulaceae,15,9,1,Dodecatheon pulchellum,NA,25.94875,non-woody,58.36991231462299,0.3836,0.6,408.09000000000003,94
Drosera rotundifolia,Droseraceae,6,3,2,Drosera rotundifolia,NA,12.68845516,non-woody,0.13,0.012899999999999998,0.07657072999999999,47.440000000000005,95
Dryopteris expansa,Dryopteridaceae,66,37,7,Dryopteris expansa,NA,22.11655754,non-woody,269.34000000000003,3.6799999999999986e-5,1.2,59642.46000000002,96
Elaeagnus commutata,Elaeagnaceae,25,11,43,Elaeagnus commutata,NA,22.611773630905695,woody,165.24525721059877,119.17239999999998,2.8178319760000003,3527.7401768357367,97
Empetrum nigrum,Ericaceae,42,18,31,Empetrum nigrum,NA,11.41157144,woody,279.276306748081,0.9796,0.21346105600000004,4.8,98
Epilobium angustifolium,Onagraceae,85,43,4,Epilobium angustifolium,NA,28.6675871,non-woody,0.30408778500000005,0.06550000000000002,0.831719514,2207.7599999999993,99
Equisetum arvense,Equisetaceae,89,43,54,Equisetum arvense,NA,20.03828835,non-woody,181.70286413985002,2.2000000000000016e-5,0.348986214,112.81999999999995,100
Equisetum hyemale subsp. affine,Equisetaceae,40,26,8,Equisetum hyemale,subsp. affine,20.802521358800252,non-woody,69.24458496504157,1.945908794637959,0.7431235072123289,1659.6848726284463,101
Equisetum telmateia,Equisetaceae,89,43,26,Equisetum telmateia,NA,18.888494093378124,non-woody,119.49333333333297,2.2000000000000016e-5,1.168182022,50.33,102
Ericameria nauseosa,Compositae,17,8,41,Ericameria nauseosa,NA,20.57577722,woody,188.83868813507786,0.7539,1.105,28.27,103
Eriophorum angustifolium,Cyperaceae,26,8,6,Eriophorum angustifolium,NA,19.2332864,non-woody,0.326532408,0.4922,0.280294636,1159.4,104
Erythronium grandiflorum,Liliaceae,13,13,25,Erythronium grandiflorum,NA,20.482880026379128,non-woody,44.03343401072854,4.0602,0.3,2135.49,105
Eurybia conspicua,Asteraceae,8,5,8,Eurybia conspicua,NA,19.927962701663024,woody,172.5952572029817,15.940579241418378,4.476998246691822,2336.964611258296,106
Fragaria chiloensis,Rosaceae,113,51,25,Fragaria chiloensis,NA,19.206888617948344,non-woody,103.61438401802701,0.74,0.24,1981.1867739789031,107
Fragaria vesca,Rosaceae,113,51,28,Fragaria vesca,NA,18.41902786,non-woody,388.00000000000006,0.3229,0.11388025699999998,1112.1100000000001,108
Fragaria virginiana,Rosaceae,113,51,76,Fragaria virginiana,NA,14.74564927,non-woody,0.470839011,0.4771,0.10693312799999999,1285.8100000000002,109
