original_name,Synonym
Diplostephium rupestre,Diplostephium rupestre
Diplotaxis catholica,Diplotaxis catholica
Diplotaxis erucoides,Diplotaxis erucoides
Diplotaxis harra,Diplotaxis harra
Diplotaxis muralis,Diplotaxis muralis
Diplotaxis siifolia,Diplotaxis siifolia
Diplotaxis tenuifolia,Diplotaxis tenuifolia
Diplotaxis viminea,Diplotaxis viminea
Diplotropis brasiliensis,Diplotropis brasiliensis
Diplotropis martiusii,NA
Diplotropis purpurea,Diplotropis purpurea
Diplotropis triloba,Diplotropis triloba
Dipodium paludosum,Dipodium paludosum
Dipodium scandens,Dipodium scandens
Dipodium squamatum,Dipodium squamatum
Dipsacus asper,Dipsacus asper
Dipsacus dipsacoides,Dipsacus dipsacoides
Dipsacus fullonum,Dipsacus fullonum
Dipsacus laciniatus,Dipsacus laciniatus
Dipsacus pilosus,Dipsacus pilosus
Dipsacus sativus,Dipsacus sativus
Dipsacus strigosus,Dipsacus strigosus
Dipteris conjugata,Dipteris conjugata
Dipterocarpus acutangulus,Dipterocarpus acutangulus
Dipterocarpus alatus,Dipterocarpus alatus
Dipterocarpus applanatus,Dipterocarpus applanatus
Dipterocarpus baudii,Dipterocarpus baudii
Dipterocarpus borneensis,Dipterocarpus borneensis
Dipterocarpus bourdillonii,Dipterocarpus bourdillonii
Dipterocarpus caudatus,Dipterocarpus caudatus
Dipterocarpus caudatus subsp. penangianus,Dipterocarpus caudatus subsp. penangianus
Dipterocarpus caudiferus,Dipterocarpus caudiferus
Dipterocarpus chartaceus,Dipterocarpus chartaceus
Dipterocarpus concavus,Dipterocarpus concavus
Dipterocarpus confertus,Dipterocarpus confertus
Dipterocarpus conformis,Dipterocarpus conformis
Dipterocarpus coriaceus,Dipterocarpus coriaceus
Dipterocarpus cornutus,Dipterocarpus cornutus
Dipterocarpus costatus,Dipterocarpus costatus
Dipterocarpus costulatus,Dipterocarpus costulatus
Dipterocarpus crinitus,Dipterocarpus crinitus
Dipterocarpus dyeri,Dipterocarpus dyeri
Dipterocarpus elongatus,Dipterocarpus elongatus
Dipterocarpus eurhynchus,Dipterocarpus eurhynchus
Dipterocarpus fagineus,Dipterocarpus fagineus
Dipterocarpus geniculatus,Dipterocarpus geniculatus
Dipterocarpus globosus,Dipterocarpus globosus
Dipterocarpus gracilis,Dipterocarpus gracilis
Dipterocarpus grandiflorus,Dipterocarpus grandiflorus
Dipterocarpus hasseltii,Dipterocarpus hasseltii
Dipterocarpus humeratus,Dipterocarpus humeratus
Dipterocarpus indicus,Dipterocarpus indicus
Dipterocarpus intricatus,Dipterocarpus intricatus
Dipterocarpus kerrii,Dipterocarpus kerrii
Dipterocarpus kunstleri,Dipterocarpus kunstleri
Dipterocarpus lamellatus,Dipterocarpus lamellatus
Dipterocarpus lowii,Dipterocarpus lowii
Dipterocarpus mundus,Dipterocarpus mundus
Dipterocarpus oblongifolius,Dipterocarpus oblongifolius
Dipterocarpus obtusifolius,Dipterocarpus obtusifolius
Dipterocarpus palembanicus,Dipterocarpus palembanicus
Dipterocarpus retusus,Dipterocarpus retusus
Dipterocarpus rigidus,Dipterocarpus rigidus
Dipterocarpus rotundifolius,Dipterocarpus rotundifolius
Dipterocarpus semivestitus,Dipterocarpus semivestitus
Dipterocarpus stellatus,Dipterocarpus stellatus
Dipterocarpus sublamellatus,Dipterocarpus sublamellatus
Dipterocarpus tempehes,Dipterocarpus tempehes
Dipterocarpus tuberculatus,Dipterocarpus tuberculatus
Dipterocarpus turbinatus,Dipterocarpus turbinatus
Dipterocarpus validus,Dipterocarpus validus
Dipterocarpus verrucosus,Dipterocarpus verrucosus
Dipterocarpus zeylanicus,Dipterocarpus zeylanicus
Dipteronia dyeriana,Dipteronia dyeriana
Dipteronia sinensis,Dipteronia sinensis
Dipterygium glaucum,Dipterygium glaucum
Dipteryx alata,Dipteryx alata
Dipteryx magnifica,Dipteryx magnifica
Dipteryx micrantha,Dipteryx micrantha
Dipteryx odorata,Dipteryx odorata
Dipteryx oleifera,Dipteryx oleifera
Dipteryx polyphylla,Dipteryx polyphylla
Dipteryx punctata,Dipteryx punctata
Dipyrena juncea,Dipyrena juncea
Dirca occidentalis,Dirca occidentalis
Dirca palustris,Dirca palustris
Dirichletia glaucescens,Dirichletia glaucescens
Dirichletia pubescens,Dirichletia pubescens
Disa aperta,Disa aperta
Disa brevicornis,Disa brevicornis
Disa chimanimaniensis,Disa chimanimaniensis
Disa cornuta,Disa cornuta
Disa dichroa,Disa dichroa
Disa eminii,Disa eminii
Disa engleriana,Disa engleriana
Disa equestris,Disa equestris
Disa longilabris,Disa longilabris
Disa miniata,Disa miniata
Disa nyikensis,Disa nyikensis
Disa ochrostachya,Disa ochrostachya
Disa patula,Disa patula
Disa perplexa,Disa perplexa
Disa praecox,Disa praecox
Disa robusta,Disa robusta
Disa roeperocharoides,Disa roeperocharoides
Disa rungweensis,Disa rungweensis
Disa saxicola,Disa saxicola
Disa similis,Disa similis
Disa ukingensis,Disa ukingensis
Disa verdickii,Disa verdickii
Disa versicolor,Disa versicolor
Disa walleri,Disa walleri
Disa zimbabweensis,Disa zimbabweensis
Disanthus cercidifolius,Disanthus cercidifolius
Discaria articulata,Discaria articulata
Discaria toumatou,Discaria toumatou
Dischidia bengalensis,Dischidia bengalensis
Dischidia chinensis,Dischidia chinensis
Dischidia formosana,Dischidia formosana
Disciphania ernstii,Disciphania ernstii
Discladium squarrosum,Discladium squarrosum
Discocalyx sp,NA
Discocarpus essequeboensis,Discocarpus essequeboensis
Discocleidion rufescens,Discocleidion rufescens
Discoglypremna caloneura,Discoglypremna caloneura
Discophora guianensis,Discophora guianensis
Discospermum abnorme,Discospermum abnorme
Discospermum javanicum,Discospermum javanicum
Disepalum plagioneurum,Disepalum plagioneurum
Disparago kraussii,Disparago kraussii
Disperis anthoceros,Disperis anthoceros
Disperis aphylla,Disperis aphylla
Disperis bifida,Disperis bifida
Disperis breviloba,Disperis breviloba
Disperis concinna,Disperis concinna
Disperis dicerochila,Disperis dicerochila
Disperis johnstonii,Disperis johnstoni
Disperis katangensis,Disperis katangensis
Disperis kilimanjarica,Disperis kilimanjarica
Disperis leuconeura,Disperis leuconeura
Disperis lindleyana,Disperis lindleyana
Disperis macowanii,Disperis macowanii
Disperis micrantha,Disperis micrantha
Disperis mozambicensis,Disperis mozambicensis
Disperis nemorosa,Disperis nemorosa
Disperis parvifolia,Disperis parvifolia
Disperis pusilla,Disperis pusilla
Disperis reichenbachiana,Disperis reichenbachiana
Disperis thomensis,Disperis thomensis
Disperis thorncroftii,Disperis thorncroftii
Disperis togoensis,Disperis togoensis
Disperis virginalis,Disperis virginalis
Disphyma clavellatum,Disphyma clavellatum
Disphyma crassifolium,Disphyma crassifolium
Disporum sessile,Disporum sessile
Dissanthelium californicum,Dissanthelium californicum
Dissiliaria baloghioides,Dissiliaria baloghioides
Dissocarpus biflorus,Dissocarpus biflorus
Dissocarpus paradoxus,Dissocarpus paradoxus
Dissochaeta gracilis,Dissochaeta gracilis
Dissochaeta leprosa,Dissochaeta leprosa
Dissotis brazzae,Dissotis brazzae
Dissotis caloneura,Dissotis caloneura
Dissotis canescens,Dissotis canescens
Dissotis congolensis,Dissotis congolensis
Dissotis cryptantha,Dissotis cryptantha
Dissotis debilis,Dissotis debilis
Dissotis denticulata,Dissotis denticulata
Dissotis falcipila,Dissotis falcipila
Dissotis gilgiana,Dissotis gilgiana
Dissotis glandulosa,Dissotis glandulosa
Dissotis hensii,Dissotis hensii
Dissotis johnstoniana,Dissotis johnstoniana
Dissotis lanata,Dissotis lanata
Dissotis pachytricha,Dissotis pachytricha
Dissotis peregrina,Dissotis peregrina
Dissotis phaeotricha,Dissotis phaeotricha
Dissotis princeps,Dissotis princeps
Dissotis romiana,Dissotis romiana
Dissotis simonis-jamesii,Dissotis simonis-jamesii
Dissotis thollonii,Dissotis thollonii
Dissotis welwitschii,Dissotis welwitschii
Distemonanthus benthamianus,Distemonanthus benthamianus
Distephanus angulifolius,Distephanus angulifolius
Distephanus anisochaetoides,Distephanus anisochaetoides
Distephanus antandroy,Distephanus antandroy
Distephanus biafrae,Distephanus biafrae
Distephanus divaricatus,Distephanus divaricatus
Distephanus ochroleucus,Distephanus ochroleucus
Distephanus plumosus,Distephanus plumosus
Distephanus polygalifolius,Distephanus polygalifolius
Distephanus subluteus,Distephanus subluteus
Distephanus trinervis,Distephanus trinervis
Distichlis spicata,Distichlis spicata
Distichoselinum tenuifolium,Distichoselinum tenuifolium
Distichostemon hispidulus,Distichostemon hispidulus
Distyliopsis dunnii,Distyliopsis dunnii
Distyliopsis laurifolia,Distyliopsis laurifolia
Distyliopsis tutcheri,Distyliopsis tutcheri
Distylium buxifolium,Distylium buxifolium
Distylium chinense,Distylium chinense
Distylium myricoides,Distylium myricoides
Distylium racemosum,Distylium racemosum
Distylium stellare,Distylium stellare
Disynaphia ligulaefolia,Disynaphia ligulifolia
Ditaxis lanceolata,Ditaxis lanceolata
Dithyrea californica,Dithyrea californica
Ditrysinia fruticosa,Ditrysinia fruticosa
Dittrichia graveolens,Dittrichia graveolens
Dittrichia viscosa,Dittrichia viscosa
Dobera loranthifolia,Dobera loranthifolia
Docynia delavayi,Docynia delavayi
Docynia indica,Docynia indica
Dodartia orientalis,Dodartia orientalis
Dodecadenia grandiflora,Dodecadenia grandiflora
Dodecastigma amazonicum,Dodecastigma amazonicum
Dodecastigma integrifolium,Dodecastigma integrifolium
Dodecastigma uleanum,Dodecastigma uleanum
Dodecatheon alpinum,Dodecatheon alpinum
Dodecatheon clevelandii,Dodecatheon clevelandii
Dodecatheon hendersonii,Dodecatheon hendersonii
Dodecatheon jeffreyi,Dodecatheon jeffreyi
Dodecatheon meadia,Dodecatheon meadia
Dodecatheon pulchellum,Dodecatheon pulchellum
Dodecatheon redolens,Dodecatheon redolens
Dodonaea aptera,Dodonaea aptera
Dodonaea baueri,Dodonaea baueri
Dodonaea boroniifolia,Dodonaea boroniifolia
Dodonaea camfieldii,Dodonaea camfieldii
Dodonaea concinna,Dodonaea concinna
Dodonaea falcata,Dodonaea falcata
Dodonaea filifolia,Dodonaea filifolia
Dodonaea hackettiana,Dodonaea hackettiana
Dodonaea heteromorpha,Dodonaea heteromorpha
Dodonaea hexandra,Dodonaea hexandra
Dodonaea humilis,Dodonaea humilis
Dodonaea inaequifolia,Dodonaea inaequifolia
Dodonaea intricata,Dodonaea intricata
Dodonaea lobulata,Dodonaea lobulata
Dodonaea peduncularis,Dodonaea peduncularis
Dodonaea petiolaris,Dodonaea petiolaris
Dodonaea pinifolia,Dodonaea pinifolia
Dodonaea polyandra,Dodonaea polyandra
Dodonaea procumbens,Dodonaea procumbens
Dodonaea ptarmicifolia,Dodonaea ptarmicaefolia
Dodonaea sinuolata,Dodonaea sinuolata
Dodonaea stenozyga,Dodonaea stenozyga
Dodonaea subglandulifera,Dodonaea subglandulifera
Dodonaea triangularis,Dodonaea triangularis
Dodonaea trifida,Dodonaea trifida
Dodonaea triquetra,Dodonaea triquetra
Dodonaea viscosa,Dodonaea viscosa
Dodonaea viscosa subsp. angustifolia,Dodonaea viscosa forma angustifolia
Dodonaea viscosa subsp. angustissima,Dodonaea viscosa subsp. angustissima
Dodonaea viscosa subsp. cuneata,Dodonaea viscosa subsp. cuneata
Doellingeria scabra,Doellingeria scabra
Doellingeria umbellata,Doellingeria umbellata
Dolichandra cynanchoides,Dolichandra cynanchoides
Dolichandra unguis-cati,Dolichandra unguis-cati
Dolichandrone alba,Dolichandrone alba
Dolichandrone falcata,Dolichandrone falcata
Dolichandrone filiformis,Dolichandrone filiformis
Dolichandrone serrulata,Dolichandrone serrulata
Dolichandrone spathacea,Dolichandrone spathacea
Dolichopentas decora,Dolichopentas decora
Dolichopentas lindenioides,Dolichopentas lindenioides
Dolichopentas longiflora,Dolichopentas longiflora
Dolichorrhiza caucasica,Dolichorrhiza caucasica
Dolichorrhiza renifolia,Dolichorrhiza renifolia
Dolichos brevidentatus,Dolichos brevidentatus
Dolichos kilimandscharicus,Dolichos kilimandscharicus
Dolichos magnificus,Dolichos magnificus
Dolichos oliveri,Dolichos oliveri
Dolichos petiolatus,Dolichos petiolatus
Dolichos pseudocajanus,Dolichos pseudocajanus
Dolichos pseudocomplanatus,Dolichos pseudocomplanatus
Dolichos sericeus,Dolichos sericeus
Dolichos subcapitatus,Dolichos subcapitatus
Dolichos trilobus,Dolichos trilobus
Dolichos trinervatus,Dolichos trinervatus
Dolichos xiphophyllus,Dolichos xiphophyllus
Doliocarpus dentatus,Doliocarpus dentatus
Doliocarpus guianensis,Doliocarpus guianensis
Doliocarpus macrocarpus,Doliocarpus macrocarpus
Doliocarpus major,Doliocarpus major
Doliocarpus multiflorus,Doliocarpus multiflorus
Doliocarpus olivaceus,Doliocarpus olivaceus
Doliocarpus spatulifolius,NA
Dombeya acutangula,Dombeya acutangula
Dombeya ambongensis,Dombeya ambongensis
Dombeya andrahomanensis,Dombeya andrahomanensis
Dombeya antsianakensis,Dombeya antsianakensis
Dombeya borraginea,Dombeya borraginea
Dombeya buettneri,Dombeya buettneri
Dombeya burgessiae,Dombeya burgessiae
Dombeya ctenostegia,Dombeya ctenostegia
Dombeya cymosa,Dombeya cymosa
Dombeya kirkii,Dombeya kirkii
Dombeya lastii,Dombeya lastii
Dombeya lucida,Dombeya lucida
Dombeya mollis,Dombeya mollis
Dombeya oligantha,Dombeya oligantha
Dombeya rotundifolia,Dombeya rotundifolia
Dombeya shupangae,Dombeya shupangae
Dombeya torrida,Dombeya torrida
Dombeya torrida subsp. erythroleuca,Dombeya torrida subsp. erythroleuca
Dombeya tremuliformis,Dombeya tremuliformis
Dombeya wittei,Dombeya wittei
Donax canniformis,Donax canniformis
Dontostemon integrifolius,Dontostemon integrifolius
Dontostemon senilis,Dontostemon senilis
Dopatrium junceum,Dopatrium junceum
Dopatrium macranthum,Dopatrium macranthum
Dopatrium stachytarphetoides,Dopatrium stachytarphetoides
Doratoxylon stipulatum,Doratoxylon stipulatum
Doronicum austriacum,Doronicum austriacum
Doronicum clusii,Doronicum clusii
Doronicum columnae,Doronicum columnae
Doronicum glaciale,Doronicum glaciale
Doronicum grandiflorum,Doronicum grandiflorum
Doronicum hungaricum,Doronicum hungaricum
Doronicum macrophyllum,Doronicum macrophyllum
Doronicum orientale,Doronicum orientale
Doronicum pardalianches,Doronicum pardalianches
Doronicum plantagineum,Doronicum plantagineum
Doronicum turkestanicum,Doronicum turkestanicum
Dorotheanthus bellidiformis,Dorotheanthus bellidiformis
Dorstenia benguellensis,Dorstenia benguellensis
Dorstenia cuspidata,Dorstenia cuspidata
Dorstenia hildebrandtii,Dorstenia hildebrandtii
Dorstenia psilurus,Dorstenia psilurus
Dorstenia schliebenii,Dorstenia schliebenii
Dorstenia tayloriana,Dorstenia tayloriana
Doryanthes excelsa,Doryanthes excelsa
Dorycnium graecum,Dorycnium graecum
Dorycnium herbaceum,Dorycnium herbaceum
Dorycnium hirsutum,Dorycnium hirsutum
Dorycnium pentaphyllum,Dorycnium pentaphyllum
Dorycnium pentaphyllum subsp. germanicum,Dorycnium pentaphyllum subsp. germanicum
Dorycnium pentaphyllum subsp. herbaceum,Dorycnium pentaphyllum subsp. herbaceum
Dorycnium rectum,Dorycnium rectum
Dorycnium spectabile,Dorycnium spectabile
Doryphora aromatica,Doryphora aromatica
Doryphora sassafras,Doryphora sassafras
Dovyalis abyssinica,Dovyalis abyssinica
Dovyalis caffra,Dovyalis caffra
Dovyalis hebecarpa,Dovyalis hebecarpa
Dovyalis longispina,Dovyalis longispina
Dovyalis lucida,Dovyalis lucida
Dovyalis macrocalyx,Dovyalis macrocalyx
Dovyalis rotundifolia,Dovyalis rotundifolia
Dovyalis zeyheri,Dovyalis zeyheri
Downingia bella,Downingia bella
Downingia bicornuta,Downingia bicornuta
Downingia concolor,Downingia concolor
Downingia cuspidata,Downingia cuspidata
Downingia elegans,Downingia elegans
Downingia insignis,Downingia insignis
Downingia laeta,Downingia laeta
Downingia montana,Downingia montana
Downingia ornatissima,Downingia ornatissima
Downingia pulchella,Downingia pulchella
Downingia pusilla,Downingia pusilla
Downingia yina,Downingia yina
Draba aizoides,Draba aizoides
Draba albertina,Draba albertina
Draba alpina,Draba alpina
Draba altaica,Draba altaica
Draba arbuscula,Draba arbuscula
Draba aretioides,Draba aretioides
Draba aspera,Draba aspera
Draba asprella,Draba asprella
Draba asterophora,Draba asterophora
Draba aurea,Draba aurea
Draba bellardii,Draba bellardii
Draba breweri,Draba breweri
Draba cheiranthoides,Draba cheiranthoides
Draba chionophila,Draba chionophila
Draba cinerea,Draba cinerea
Draba cuneifolia,Draba cuneifolia
Draba dolomitica,Draba dolomitica
Draba dubia,Draba dubia
Draba empetroides,Draba empetroides
Draba fladnizensis,Draba fladnizensis
Draba glabella,Draba glabella
Draba hirta,Draba hirta
Draba hispida,Draba hispida
Draba hoppeana,Draba hoppeana
Draba incana,Draba incana
Draba incerta,Draba incerta
Draba korshinskyi,Draba korshinskyi
Draba lindenii,Draba lindenii
Draba muralis,Draba muralis
Draba nemorosa,Draba nemorosa
Draba norvegica,Draba norvegica
Draba oblongata,Draba oblongata
Draba oreades,Draba oreades
Draba oxycarpa,Draba oxycarpa
Draba pamirica,Draba pamirica
Draba pamplonensis,Draba pamplonensis
Draba praealta,Draba praealta
Draba reptans,Draba reptans
Draba sauteri,Draba sauteri
Draba siliquosa,Draba siliquosa
Draba streptocarpa,Draba streptocarpa
Draba stylaris,Draba stylaris
Draba subamplexicaulis,Draba subamplexicaulis
Draba tomentosa,Draba tomentosa
Draba ussuriensis,Draba ussuriensis
Dracaena angustifolia,Dracaena angustifolia
Dracaena cambodiana,Dracaena cambodiana
Dracaena draco,Dracaena draco
Dracaena ellenbeckiana,Dracaena ellenbeckiana
Dracaena elliptica,Dracaena elliptica
Dracaena fragrans,Dracaena fragrans
Dracaena mannii,Dracaena mannii
Dracaena reflexa,Dracaena reflexa
Dracaena reflexa var. bakeri,Dracaena reflexa var. bakeri
Dracaena steudneri,Dracaena steudneri
Dracocephalum argunense,Dracocephalum argunense
Dracocephalum austriacum,Dracocephalum austriacum
Dracocephalum grandiflorum,Dracocephalum grandiflorum
Dracocephalum heterophyllum,Dracocephalum heterophyllum
Dracocephalum moldavica,Dracocephalum moldavica
Dracocephalum parviflorum,Dracocephalum parviflorum
Dracocephalum paulsenii,Dracocephalum paulsenii
Dracocephalum ruyschiana,Dracocephalum ruyschiana
Dracocephalum stamineum,Dracocephalum stamineum
Dracontomelon costatum,Dracontomelon costatum
Dracontomelon dao,Dracontomelon dao
Dracontomelon duperreanum,Dracontomelon duperreanum
Dracontomelon macrocarpum,Dracontomelon macrocarpum
Dracophilus dealbatus,Dracophilus dealbatus
Dracophilus proximus,Dracophilus proximus
Dracophyllum adamsii,Dracophyllum adamsii
Dracophyllum fitzgeraldii,Dracophyllum fitzgeraldii
Dracophyllum latifolium,Dracophyllum latifolium
Dracophyllum longifolium,Dracophyllum longifolium
Dracophyllum palustre,Dracophyllum palustre
Dracophyllum pronum,Dracophyllum pronum
Dracophyllum prostratum,Dracophyllum prostratum
Dracophyllum sayeri,Dracophyllum sayeri
Dracophyllum secundum,Dracophyllum secundum
Dracophyllum traversii,Dracophyllum traversii
Dracophyllum uniflorum,Dracophyllum uniflorum
Dracopis amplexicaulis,Dracopis amplexicaulis
Dregea abyssinica,Dregea abyssinica
Dregea rubicunda,Dregea rubicunda
Dregea volubilis,Dregea volubilis
Drepananthus biovulatus,Drepananthus biovulatus
Drepananthus carinatus,Drepananthus carinatus
Drepananthus havilandii,Drepananthus havilandii
Drepananthus pahangensis,Drepananthus pahangensis
Drepananthus pruniferus,Drepananthus pruniferus
Drepananthus ramuliflorus,Drepananthus ramuliflorus
Drepanostachyum falcatum,Drepanostachyum falcatum
Drimia altissima,Drimia altissima
Drimia elata,Drimia elata
Drimia exuviata,Drimia exuviata
Drimia maritima,Drimia maritima
Drimia secunda,Drimia secunda
Drimycarpus racemosus,Drimycarpus racemosus
Drimys granadensis,Drimys granadensis
Drimys insipida,Drimys insipida
Drimys lanceolata,Drimys lanceolata
Drimys piperita,Drimys piperita
Drimys purpurascens,Drimys purpurascens
Drimys winteri,Drimys winteri
Droguetia iners,Droguetia iners
Droogmansia megalantha,Droogmansia megalantha
Droogmansia pteropus,Droogmansia pteropus
Drosanthemum calycinum,Drosanthemum calycinum
Drosanthemum floribundum,Drosanthemum floribundum
Drosanthemum hispidum,Drosanthemum hispidum
Drosanthemum inornatum,Drosanthemum inornatum
Drosanthemum parvifolium,Drosanthemum parvifolium
Drosanthemum paxianum,Drosanthemum paxianum
Drosanthemum speciosum,Drosanthemum speciosum
Drosanthemum stokoei,Drosanthemum stokoei
Drosera adelae,Drosera adelae
Drosera anglica,Drosera anglica
Drosera arcturi,Drosera arcturi
Drosera binata,Drosera binata
Drosera bulbosa,Drosera bulbosa
Drosera burmanni,Drosera burmanni
Drosera capensis,Drosera capensis
Drosera capillaris,Drosera capillaris
Drosera erythrorhiza,Drosera erythrorhiza
Drosera filiformis,Drosera filiformis
Drosera indica,Drosera indica
Drosera intermedia,Drosera intermedia
Drosera macrantha,Drosera macrantha
Drosera obovata,Drosera
Drosera peltata,Drosera peltata
Drosera petiolaris,Drosera petiolaris
Drosera pygmaea,Drosera pygmaea
Drosera rotundifolia,Drosera rotundifolia
Drosera spatulata,Drosera spathulata
Drosera uniflora,Drosera uniflora
Drosera whittakeri,Drosera whittakeri
Drosophyllum lusitanicum,Drosophyllum lusitanicum
Drusa glandulosa,Drusa glandulosa
Dryadodaphne novoguineensis,Dryadodaphne novoguineensis
Dryandra arborea,Dryandra arborea
Dryandra armata,Dryandra armata
Dryandra carlinoides,Dryandra carlinoides
Dryandra catoglypta,Dryandra catoglypta
Dryandra cirsioides,Dryandra cirsioides
Dryandra corvijuga,Dryandra corvijuga
Dryandra cuneata,Dryandra cuneata
Dryandra cynaroides,Dryandra cynaroides
Dryandra drummondii,Dryandra drummondii
Dryandra ferruginea,Dryandra ferruginea
Dryandra foliosissima,Dryandra foliosissima
Dryandra fraseri,Dryandra fraseri
Dryandra longifolia,Dryandra longifolia
Dryandra mucronulata,Dryandra mucronulata
Dryandra nivea,Dryandra nivea
Dryandra nobilis,Dryandra nobilis
Dryandra pallida,Dryandra pallida
Dryandra pseudoplumosa,Dryandra pseudoplumosa
Dryandra quercifolia,Dryandra quercifolia
Dryandra serra,Dryandra serra
Dryandra sessilis,Dryandra sessilis
Dryandra speciosa,Dryandra speciosa
Dryandra trifontinalis,Dryandra trifontinalis
Dryandra vestita,Dryandra vestita
Dryas drummondii,Dryas drummondii
Dryas grandis,Dryas grandis
Dryas integrifolia,Dryas integrifolia
Dryas octopetala,Dryas octopetala
Dryas octopetala var. asiatica,Dryas octopetala var. asiatica
Dryas sumneviczii,Dryas sumneviczii
Drymaria cordata,Drymaria cordata
Drymaria leptophylla,Drymaria leptophylla
Drymaria molluginea,Drymaria molluginea
Drymocallis rupestris,Drymocallis rupestris
Drymonia serrulata,Drymonia serrulata
Drynaria quercifolia,Drynaria quercifolia
Drynaria sparsisora,Drynaria sparsisora
Dryobalanops beccarii,Dryobalanops beccarii
Dryobalanops fusca,Dryobalanops fusca
Dryobalanops keithii,Dryobalanops keithii
Dryobalanops lanceolata,Dryobalanops lanceolata
Dryobalanops oblongifolia,Dryobalanops oblongifolia
Dryobalanops rappa,Dryobalanops rappa
Dryobalanops sumatrensis,Dryobalanops sumatrensis
Dryopoa dives,Dryopoa dives
Dryopteris aemula,Dryopteris aemula
Dryopteris affinis,Dryopteris affinis
Dryopteris carthusiana,Dryopteris carthusiana
Dryopteris crassirhizoma,Dryopteris crassirhizoma
Dryopteris cristata,Dryopteris cristata
Dryopteris deweveri,Dryopteris dewevrei
Dryopteris dilatata,Dryopteris dilatata
Dryopteris expansa,Dryopteris expansa
Dryopteris filix-mas,Dryopteris filix-mas
Dryopteris glabra,Dryopteris glabra
Dryopteris goldiana,Dryopteris goldiana
Dryopteris intermedia,Dryopteris intermedia
Dryopteris marginalis,Dryopteris marginalis
Dryopteris mindshelkensis,Dryopteris mindshelkensis
Dryopteris oreades,Dryopteris oreades
Dryopteris remota,Dryopteris remota
Dryopteris submontana,Dryopteris submontana
Dryopteris wallichiana,Dryopteris wallichiana
Drypetes amazonica,Drypetes amazonica
Drypetes americana,NA
Drypetes arguta,Drypetes arguta
Drypetes aubrevillei,Drypetes aubrevillei
Drypetes brownii,Drypetes brownii
Drypetes congestiflora,Drypetes congestiflora
Drypetes crassipes,Drypetes crassipes
Drypetes deplanchei,Drypetes deplanchei
Drypetes fanshawei,Drypetes fanshawei
Drypetes gentryi,Drypetes gentryi
Drypetes gerrardii,Drypetes gerrardii
Drypetes glauca,Drypetes glauca
Drypetes globosa,Drypetes globosa
Drypetes gossweileri,Drypetes gossweileri
Drypetes hainanensis,Drypetes hainanensis
Drypetes indica,Drypetes indica
Drypetes kikir,Drypetes kikir
Drypetes lateriflora,Drypetes lateriflora
Drypetes longifolia,Drypetes longifolia
Drypetes macrostigma,Drypetes macrostigma
Drypetes madagascariensis,Drypetes madagascariensis
Drypetes minahassae,Drypetes minahassae
Drypetes mossambicensis,Drypetes mossambicensis
Drypetes mucronata,Drypetes mucronata
Drypetes natalensis,Drypetes natalensis
Drypetes neglecta,Drypetes neglecta
Drypetes ovalis,Drypetes ovalis
Drypetes pendula,Drypetes pendula
Drypetes perreticulata,Drypetes perreticulata
Drypetes polyneura,Drypetes polyneura
Drypetes reticulata,Drypetes reticulata
Drypetes sibuyanensis,Drypetes sibuyanensis
Drypetes simalurensis,Drypetes simalurensis
Drypetes standleyi,Drypetes standleyi
Drypetes subcubica,Drypetes subcubica
Drypetes subsymmetrica,Drypetes subsymmetrica
Drypetes usambarica,Drypetes usambarica
Drypetes variabilis,Drypetes variabilis
Drypis spinosa,Drypis spinosa
Duabanga grandiflora,Duabanga grandiflora
Duabanga moluccana,Duabanga moluccana
Dubautia arborea,Dubautia arborea
Dubautia ciliolata,Dubautia ciliolata
Dubautia herbstobatae,Dubautia herbstobatae
Dubautia kalalauensis,Dubautia kalalauensis
Dubautia knudsenii,Dubautia knudsenii
Dubautia laxa,Dubautia laxa
Dubautia linearis,Dubautia linearis
Dubautia menziesii,Dubautia menziesii
Dubautia paleata,Dubautia paleata
Dubautia platyphylla,Dubautia platyphylla
Dubautia raillardioides,Dubautia raillardioides
Dubautia reticulata,Dubautia reticulata
Dubautia scabra,Dubautia scabra
Duboisia hopwoodii,Duboisia hopwoodii
Duboisia myoporoides,Duboisia myoporoides
Duchesnea indica,Duchesnea indica
Duckeodendron cestroides,Duckeodendron cestroides
Duckesia verrucosa,Duckesia verrucosa
Ducrosia anethifolia,Ducrosia anethifolia
Dudleya caespitosa,Dudleya caespitosa
Dudleya candelabrum,Dudleya candelabrum
Dudleya collomiae,Dudleya collomiae
Dudleya cymosa,Dudleya cymosa
Dudleya edulis,Dudleya edulis
Dudleya farinosa,Dudleya farinosa
Dudleya greenei,Dudleya greenei
Dudleya lanceolata,Dudleya lanceolata
Dudleya pulverulenta,Dudleya pulverulenta
Dudleya stolonifera,Dudleya stolonifera
Dudleya traskae,Dudleya traskiae
Dudleya virens,Dudleya virens
Dudleya viscida,Dudleya viscida
Duguetia cadaverica,Duguetia cadaverica
Duguetia calycina,Duguetia calycina
Duguetia cauliflora,Duguetia cauliflora
Duguetia chrysea,Duguetia chrysea
Duguetia confinis,Duguetia confinis
Duguetia confusa,Duguetia confusa
Duguetia dimorphopetala,Duguetia dimorphopetala
Duguetia echinophora,Duguetia echinophora
Duguetia flagellaris,Duguetia flagellaris
Duguetia furfuracea,Duguetia furfuracea
Duguetia hadrantha,Duguetia hadrantha
