original_name,Synonym
Acacia legnota,Acacia legnota
Acacia leiocalyx,Acacia leiocalyx
Acacia leiophylla,Acacia leiophylla
Acacia leprosa,Acacia leprosa
Acacia leptocarpa,Acacia leptocarpa
Acacia leptoclada,Acacia leptoclada
Acacia leptospermoides,Acacia leptospermoides
Acacia leptostachya,Acacia leptostachya
Acacia leucoclada,Acacia leucoclada
Acacia leucolobia,Acacia leucolobia
Acacia leucophloea,Acacia leucophloea
Acacia ligulata,Acacia ligulata
Acacia ligustrina,Acacia ligustrina
Acacia linearifolia,Acacia linearifolia
Acacia lineata,Acacia lineata
Acacia lineolata,Acacia lineolata
Acacia linifolia,Acacia linifolia
Acacia lirellata,Acacia lirellata
Acacia longifolia,Acacia longifolia
Acacia longifolia subsp. sophorae,Acacia longifolia subsp. sophorae
Acacia longispicata,Acacia longispicata
Acacia longispinea,Acacia longispinea
Acacia longissima,Acacia longissima
Acacia lucasii,Acacia lucasii
Acacia luederitzii,Acacia luederitzii
Acacia lysiphloia,Acacia lysiphloia
Acacia mabellae,Acacia mabellae
Acacia macilenta,Acacia macilenta
Acacia macnuttiana,Acacia macnuttiana
Acacia maconochieana,Acacia maconochieana
Acacia macracantha,Acacia macracantha
Acacia macrostachya,Acacia macrostachya
Acacia maidenii,Acacia maidenii
Acacia maitlandii,Acacia maitlandii
Acacia mangium,Acacia mangium
Acacia mayana,Acacia mayana
Acacia mearnsii,Acacia mearnsii
Acacia megacephala,Acacia megacephala
Acacia meiantha,Acacia meiantha
Acacia meisneri,Acacia meisneri
Acacia melanoceras,Acacia melanoceras
Acacia melanoxylon,Acacia melanoxylon
Acacia melleodora,Acacia melleodora
Acacia mellifera,Acacia mellifera
Acacia menzelii,Acacia menzelii
Acacia merrallii,Acacia merrallii
Acacia merrickiae,Acacia merrickiae
Acacia microbotrya,Acacia microbotrya
Acacia microcarpa,Acacia microcarpa
Acacia millefolia,Acacia millefolia
Acacia mimula,Acacia mimula
Acacia minutifolia,Acacia minutifolia
Acacia mitchellii,Acacia michelii
Acacia modesta,Acacia modesta
Acacia mollifolia,Acacia mollifolia
Acacia montana,Acacia montana
Acacia monticola,Acacia monticola
Acacia montigena,Acacia montigena
Acacia montis-usti,Acacia montis-usti
Acacia mucronata,Acacia mucronata
Acacia muelleriana,Acacia muelleriana
Acacia multisiliqua,Acacia multisiliqua
Acacia multispicata,Acacia multispicata
Acacia murrayana,Acacia murrayana
Acacia mutabilis,Acacia mutabilis
Acacia myrtifolia,Acacia myrtifolia
Acacia nana,Acacia cana
Acacia nanodealbata,Acacia nanodealbata
Acacia nebrownii,Acacia nebrownii
Acacia nematophylla,Acacia nematophylla
Acacia neovernicosa,Acacia neovernicosa
Acacia neriifolia,Acacia neriifolia
Acacia neurocarpa,Acacia neurocarpa
Acacia neurophylla,Acacia neurophylla
Acacia nigrescens,Acacia nigrescens
Acacia nigripilosa,Acacia nigripilosa
Acacia nilotica,Acacia nilotica
Acacia nilotica subsp. adstringens,Acacia nilotica subsp. adstringens
Acacia nodiflora,Acacia nodiflora
Acacia notabilis,Acacia notabilis
Acacia nova-anglica,Acacia
Acacia obliquinervia,Acacia obliquinervia
Acacia obtusata,Acacia obtusata
Acacia obtusifolia,Acacia obtusifolia
Acacia occidentalis,Acacia occidentalis
Acacia oerfota,Acacia oerfota
Acacia olgana,Acacia olgana
Acacia olsenii,Acacia olsenii
Acacia omalophylla,Acacia omalophylla
Acacia oncinocarpa,Acacia oncinocarpa
Acacia ophiolithica,Acacia ophiolithica
Acacia oraria,Acacia oraria
Acacia origena,Acacia origena
Acacia oshanesii,Acacia oshanesii
Acacia oswaldii,Acacia oswaldii
Acacia oxycedrus,Acacia oxycedrus
Acacia pachycarpa,Acacia pachycarpa
Acacia pallidifolia,Acacia pallidifolia
Acacia paolii,Acacia paolii
Acacia papulosa,Acacia papulosa
Acacia papyrocarpa,Acacia papyrocarpa
Acacia paradoxa,Acacia paradoxa
Acacia parramattensis,Acacia parramattensis
Acacia parvipinnula,Acacia parvipinnula
Acacia pellita,Acacia pellita
Acacia pendula,Acacia pendula
Acacia pennata,Acacia pennata
Acacia pennatula,Acacia pennatula
Acacia penninervis,Acacia penninervis
Acacia perangusta,Acacia perangusta
Acacia permixta,Acacia permixta
Acacia pervillei,Acacia pervillei
Acacia peuce,Acacia peuce
Acacia phaeocalyx,Acacia phaeocalyx
Acacia phasmoides,Acacia phasmoides
Acacia phlebocarpa,Acacia phlebocarpa
Acacia piligera,Acacia piligera
Acacia pilispina,Acacia pilispina
Acacia pilligaensis,Acacia pilligaensis
Acacia pinguiculosa,Acacia pinguiculosa
Acacia pinguifolia,Acacia pinguifolia
Acacia pinnata,Acacia pinnata
Acacia platycarpa,Acacia platycarpa
Acacia plectocarpa,Acacia plectocarpa
Acacia plicata,Acacia plicata
Acacia podalyriifolia,Acacia podalyriaefolia
Acacia polyacantha,Acacia polyacantha
Acacia polybotrya,Acacia polybotrya
Acacia polyphylla,Acacia polyphylla
Acacia polystachya,Acacia polystachya
Acacia praecox,Acacia praecox
Acacia prainii,Acacia prainii
Acacia pravifolia,Acacia pravifolia
Acacia pravissima,Acacia pravissima
Acacia pringlei,Acacia pringlei
Acacia prominens,Acacia prominens
Acacia pruinocarpa,Acacia pruinocarpa
Acacia pruinosa,Acacia pruinosa
Acacia ptychoclada,Acacia ptychoclada
Acacia pubescens,Acacia pubescens
Acacia pubifolia,Acacia pubifolia
Acacia pulchella,Acacia pulchella
Acacia pusilla,Acacia pusilla
Acacia pustula,Acacia pustula
Acacia pycnantha,Acacia pycnantha
Acacia pycnostachya,Acacia pycnostachya
Acacia pyrifolia,Acacia pyrifolia
Acacia quadrilateralis,Acacia quadrilateralis
Acacia quadrimarginea,Acacia quadrimarginea
Acacia quornensis,Acacia quornensis
Acacia racospermoides,Acacia racospermoides
Acacia ramulosa,Acacia ramulosa
Acacia reficiens,Acacia reficiens
Acacia rehmanniana,Acacia rehmanniana
Acacia repanda,Acacia repanda
Acacia resinimarginea,Acacia resinimarginea
Acacia retinodes,Acacia retinodes
Acacia retivenea,Acacia retivenea
Acacia rhetinocarpa,Acacia rhetinocarpa
Acacia rhigiophylla,Acacia rhigiophylla
Acacia rhodophloia,Acacia rhodophloia
Acacia rhodoxylon,Acacia rhodoxylon
Acacia riceana,Acacia riceana
Acacia richii,Acacia richii
Acacia rigens,Acacia rigens
Acacia rigidula,Acacia rigidula
Acacia riparia,Acacia riparia
Acacia robusta,Acacia robusta
Acacia robynsiana,Acacia robynsiana
Acacia roemeriana,Acacia roemeriana
Acacia rossei,Acacia rosei
Acacia rostellifera,Acacia rostellifera
Acacia rothii,Acacia rothii
Acacia rovumae,Acacia rovumae
Acacia rubida,Acacia rubida
Acacia rugata,Acacia rugata
Acacia rupicola,Acacia rupicola
Acacia ruppii,Acacia ruppii
Acacia sakalava,Acacia sakalava
Acacia saliciformis,Acacia saliciformis
Acacia salicina,Acacia salicina
Acacia saligna,Acacia saligna
Acacia schaffneri,Acacia schaffneri
Acacia schinoides,Acacia schinoides
Acacia schweinfurthii,Acacia schweinfurthii
Acacia scirpifolia,Acacia scirpifolia
Acacia sclerophylla,Acacia sclerophylla
Acacia sclerosperma,Acacia sclerosperma
Acacia sekhukhuniensis,Acacia sekhukhuniensis
Acacia semirigida,Acacia semirigida
Acacia senegal,Acacia senegal
Acacia senegalensis,Acacia senegalensis
Acacia sertiformis,Acacia sertiformis
Acacia seyal,Acacia seyal
Acacia shirleyana,Acacia shirleyana
Acacia shirleyi,Acacia shirleyi
Acacia sibilans,Acacia sibilans
Acacia siculiformis,Acacia siculiformis
Acacia sieberiana,Acacia sieberiana
Acacia sieberiana var. woodii,Acacia sieberiana var. woodii
Acacia silvestris,Acacia sylvestris
Acacia simsii,Acacia simsii
Acacia sinuata,Acacia sinuata
Acacia spectabilis,Acacia spectabilis
Acacia spilleriana,Acacia spilleriana
Acacia spinescens,Acacia spinescens
Acacia splendens,Acacia splendens
Acacia spondylophylla,Acacia spondylophylla
Acacia sporadica,Acacia sporadica
Acacia squamata,Acacia squamata
Acacia startii,Acacia startii
Acacia steedmanii,Acacia steedmanii
Acacia stellaticeps,Acacia stellaticeps
Acacia stenophylla,Acacia stenophylla
Acacia stereophylla,Acacia stereophylla
Acacia stipuligera,Acacia stipuligera
Acacia stowardii,Acacia stowardii
Acacia stricta,Acacia stricta
Acacia strongylophylla,Acacia strongylophylla
Acacia stuhlmannii,Acacia stuhlmannii
Acacia suaveolens,Acacia suaveolens
Acacia subangulata,Acacia subangulata
Acacia subcaerulea,Acacia subcaerulea
Acacia subporosa,Acacia subporosa
Acacia subracemosa,Acacia subracemosa
Acacia subtessarogona,Acacia subtessarogona
Acacia subulata,Acacia subulata
Acacia sulcata,Acacia sulcata
Acacia sutherlandii,Acacia sutherlandii
Acacia swazica,Acacia swazica
Acacia tanganyikensis,Acacia tanganyikensis
Acacia telmica,Acacia telmica
Acacia tenuifolia,Acacia tenuifolia
Acacia tenuispina,Acacia tenuispina
Acacia tenuissima,Acacia tenuissima
Acacia terminalis,Acacia terminalis
Acacia tetragonophylla,Acacia tetragonophylla
Acacia tetraneura,Acacia tetraneura
Acacia tindaleae,Acacia tindaleae
Acacia tomentosa,Acacia tomentosa
Acacia torrei,Acacia torrei
Acacia torta,Acacia torta
Acacia tortilis,Acacia tortilis
Acacia tortilis subsp. raddiana,Acacia tortilis subsp. raddiana
Acacia tortuosa,Acacia tortuosa
Acacia torulosa,Acacia torulosa
Acacia trachycarpa,Acacia trachycarpa
Acacia trachyphloia,Acacia trachyphloia
Acacia tratmaniana,Acacia tratmaniana
Acacia trinervata,Acacia trinervata
Acacia trineura,Acacia trineura
Acacia triptera,Acacia triptera
Acacia triquetra,Acacia triquetra
Acacia tropica,Acacia tropica
Acacia truncata,Acacia truncata
Acacia tucumanensis,Acacia tucumanensis
Acacia tumida,Acacia tumida
Acacia ulicifolia,Acacia ulicifolia
Acacia ulicina,Acacia ulicina
Acacia umbellata,Acacia umbellata
Acacia uncinata,Acacia uncinata
Acacia undosa,Acacia undosa
Acacia undulifolia,Acacia undulifolia
Acacia venulosa,Acacia venulosa
Acacia verniciflua,Acacia verniciflua
Acacia veronica,Acacia veronica
