"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"44","Ordonez","Jenny",88,"The Netherlands Plant Traits Database","Phalaris arundinacea",41425,"Phalaris arundinacea",943684,5803244,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","SSD","0.422794118","mg/mm3","Single",NA,NA,NA,0.422794118,"g/cm3",NA,NA,3.85787,"Ordonez, J. C., P. M. van Bodegom, J. P. M. Witte, R. P. Bartholomeus, J. R. van Hal, and R. Aerts. 2010. Plant Strategies in Relation to Resource Supply in Mesic to Wet Environments: Does Theory Mirror Nature? American Naturalist 175:225-239.","stem density",NA
"45","Zanne","Amy",61,"Global Wood Density Database","Picea engelmannii",41917,"Picea engelmannii",747895,3358256,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.35","g/cm^3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,0.970345,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"46","Zanne","Amy",61,"Global Wood Density Database","Picea glauca",41920,"Picea glauca",747896,3358258,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.45","g/cm^3","Single",NA,NA,NA,0.45,"g/cm3",NA,NA,4.78932,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"47","Reich","Peter",94,"Global A, N, P, SLA Database","Picea glauca",41920,"Picea glauca",949765,5859951,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WoodDensity(kg/m3)Round","350","kg/m3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,3.69262,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"48","Anand","Madhur",100,"Plant Traits in Pollution Gradients Database","Picea glauca",41920,"Picea glauca",1034612,6279633,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Wood density","490.2","mg/cm3","Mean",103.4,"Standard Deviation",NA,0.4902,"g/cm3",NA,NA,5.16272,"unpub.","average of all sampled tree cores per species, calcuated using oven dry mass and wet volume; given in mg/mm3",NA
"49","Anand","Madhur",100,"Plant Traits in Pollution Gradients Database","Picea glauca",41920,"Picea glauca",1034627,6280504,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Wood density","531.7","mg/cm3","Mean",84.4,"Standard Deviation",NA,0.5317,"g/cm3",NA,NA,5.51735,"unpub.","average of all sampled tree cores per species, calcuated using oven dry mass and wet volume; given in mg/mm3",NA
"50","Zanne","Amy",61,"Global Wood Density Database","Picea mariana",41927,"Picea mariana",747903,3358272,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.43","g/cm^3","Single",NA,NA,NA,0.43,"g/cm3",NA,NA,2.72767,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"51","Reich","Peter",94,"Global A, N, P, SLA Database","Picea mariana",41927,"Picea mariana",949867,5863083,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WoodDensity(kg/m3)Round","350","kg/m3","Single",NA,NA,NA,0.35,"g/cm3",NA,NA,1.82936,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"52","Cornelissen","Johannes",37,"Sheffield Database","Picea sitchensis",41942,"Picea sitchensis",16033,454195,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Wood density","420","kg/m3","Single",NA,NA,NA,0.42,"g/cm3",NA,NA,1.3339,"Cornelissen, J. H. C., B. Cerabolini, P. Castro-Diez, P. Villar-Salvador, G. Montserrat-Marti, J. P. Puyravaud, M. Maestro, M. J. A. Werger, and R. Aerts. 2003. Functional traits of woody plants: correspondence of species rankings between field adults and laboratory-grown seedlings? Journal of Vegetation Science 14:311-322.",NA,NA
"53","Zanne","Amy",61,"Global Wood Density Database","Picea sitchensis",41942,"Picea sitchensis",747909,3358284,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.37","g/cm^3","Single",NA,NA,NA,0.37,"g/cm3",NA,NA,0.899165,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
